,id,uri,title,artist,duration_ms,explicit,track_number,release_date,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,tempo,lyrics
0,4wCD0qOFNRu1Q6O3N6ycm4,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,Crush,David Archuleta,213520,False,1,2008-11-11,67,0.57,0.664,0,-4.718,0.0322,0.00836,1.2e-05,0.0719,0.487,0,162.084,"Crush Lyrics[Intro]
Ooh, whoa, whoa
Oh, oh

[Verse 1]
I hung up the phone tonight
Something happened for the first time
Deep inside, it was a rush, what a rush (What a rush, rush)
'Cause the possibility
That you would ever feel the same way about me
Just too much, just too much (Just too much)
[Pre-Chorus]
Why do I keep running from the truth?
All I ever think about is you
You got me hypnotized, so mesmerized
And I just got to know

[Chorus]
Do you ever think when you're all alone
All that we can be, where this thing can go?
Am I crazy or falling in love?
Is it real or just another crush?
Do you catch a breath when I look at you?
Are you holding back like the way you do?
'Cause I've tried and tried to walk away
But I know this crush ain't going away
Yeah, yeah, yeah, yeah
Going away
Yeah, yeah, yeah, yeah

[Verse 2]
Has it ever crossed your mind
When we're hanging, spending time, girl
Are we just friends? Is there more, is there more? (Is there more?)
See, it's a chance we've gotta take
'Cause I believe that we can make this into
Something that will last, last forever, forever
You might also like[Chorus]
Do you ever think when you're all alone
All that we can be, where this thing could go?
Am I crazy or falling in love?
Is it real or just another crush?
Do you catch a breath when I look at you?
Are you holding back like the way you do?
'Cause I've tried and tried to walk away
But I know this crush ain't going away
Yeah, yeah, yeah, yeah
Going away
Yeah, yeah, yeah, yeah

[Pre-Chorus]
Why do I keep running from the truth? (Why do I keep running?)
All I ever think about is you (All I ever think about)
You got me hypnotized (Hypnotized)
So mesmerized (Mesmerized)
And I just got to know

[Chorus]
Do you ever think (Ever think) when you're all alone (All alone)
All that we can be, where this thing could go? (Go)
Am I crazy or falling in love? (Crazy)
Is it real or just another crush? (Another crush, yeah, yeah)
Do you catch a breath when I look at you?
Are you holding back like the way I do?
'Cause I've tried and tried to walk away (Whoa)
But I know this crush ain't going away
Yeah, yeah, yeah, yeah (This crush ain't)
Going away
Yeah, yeah, yeah, yeah (Going away)
Going away
[Outro]
(Do you ever think when you're all alone (yeah, yeah, yeah, yeah)
All that we can be, where this thing can go?)
Going away (Going away)
(Yeah, yeah, yeah, yeah)
(Do you catch a breath when I look at you?
Are you holding back like the way I do?)
(Oh, going away) Do you ever think when you're all alone
(Yeah, yeah, yeah, yeah)
All that we can be, where this thing could go?
Going away
Do you catch a breath?7Embed"
1,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,237493,False,3,2002-04-30,77,0.56,0.825,11,-3.862,0.0379,0.323,0.0,0.161,0.268,1,94.931,"TranslationsFrançaisA Thousand Miles Lyrics[Piano Intro]

[Refrain]
Makin' my way downtown
Walkin' fast, faces pass
And I'm homebound
Starin' blankly ahead
Just makin' my way
Makin' a way through the crowd

[Pre-Chorus]
And I need you
And I miss you
And now I wonder
[Chorus]
If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you
Tonight

[Verse]
It's always times like these when I think of you
And I wonder if you ever think of me
'Cause everything's so wrong, and I don't belong
Livin' in your precious memory

[Pre-Chorus]
'Cause I'll need you
And I'll miss you
And now I wonder

[Chorus]
If I could fall into the sky
Do you think time would pass me by?
Oh, 'cause you know I'd walk a thousand miles
If I could just see you
Tonight

[Bridge]
I, I don't wanna let you know
I, I drown in your memory
I, I don't wanna let this go
I, I don't
You might also like[Refrain]
Makin' my way downtown
Walkin' fast, faces pass
And I'm homebound
Starin' blankly ahead
Just makin' my way
Makin' a way through the crowd

[Pre-Chorus]
And I still need you
I still miss you
And now I wonder

[Chorus]
If I could fall into the sky
Do you think time would pass us by?
'Cause you know I'd walk a thousand miles
If I could just see you, oh-oh
If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you
If I could just hold you
Tonight36Embed"
3,7w0CEIlW8kcomXPgxQ55Hj,spotify:track:7w0CEIlW8kcomXPgxQ55Hj,I Will Be Here,Steven Curtis Chapman,268533,False,5,1989-01-01,54,0.475,0.186,3,-15.576,0.0277,0.749,2.53e-05,0.285,0.248,1,101.366,"I Will Be Here Lyrics[Verse 1]
Tomorrow mornin', if you wake up
And the sun does not appear
I, I will be here
If in the dark, we lose sight of love
Hold my hand, and have no fear
'Cause I, I will be here

[Chorus]
I will be here
When you feel like being quiet
When you need to speak your mind
I will listen
And I will be here
When the laughter turns to cryin'
Through the winnin', losin', and tryin'
We'll be together
'Cause I will be here
[Verse 2]
Tomorrow mornin', if you wake up
And the future is unclear
I, I will be here
As sure as seasons are made for change
Our lifetimes are made for years
So I, I will be here

[Chorus]
I will be here
And you can cry on my shoulder
When the mirror tells us we're older
I will hold you
And I will be here
To watch you grow in beauty
And tell you all the things you are to me
I will be here, mmm

[Bridge]
I will be true to the promise I have made
To you and to the One who gave you to me

[Outro]
I, I will be here
And just as sure as seasons are made for change
Our lifetimes are made for years
So I
I will be here
We'll be together
I will be hereYou might also likeEmbed"
4,10M2Ex445zw585Ducldzkw,spotify:track:10M2Ex445zw585Ducldzkw,In Case You Didn't Know,Brett Young,224853,False,4,2017-02-10,75,0.607,0.536,10,-7.306,0.0305,0.386,0.0,0.102,0.434,1,147.986,"In Case You Didn’t Know Lyrics[Verse 1]
I can't count the times
I almost said what's on my mind
But I didn't
And just the other day
I wrote down all the things I'd say
But I couldn't
I just couldn't

[Pre-Chorus]
Baby, I know that you've been wondering
Mm, so here goes nothing
[Chorus]
In case you didn't know
Baby, I'm crazy 'bout you
And I would be lying if I said
That I could live this life without you
Even though, I don't tell you all the time
You had my heart a long, long time ago
In case you didn't know

[Verse 3]
The way you look tonight
That second glass of wine
That did it, mm
There was something 'bout that kiss
Girl, it did me in
Got me thinking
I'm thinking

[Pre-Chorus]
One of the things that I've been feeling
Mm, it's time you hear 'em

[Chorus]
In case you didn't know
Baby, I'm crazy 'bout you
And I would be lying if I said
That I could live this life without you
Even though, I don't tell you all the time
You had my heart a long, long time ago
In case you didn't know
You might also like[Bridge]
You've got all of me
I belong to you
Yeah, you're my everything

[Chorus]
In case you didn't know
I'm crazy 'bout ya
I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long, long time ago
Yeah, you had my heart a long, long time ago, mm
In case you didn't know
No, no
In case you didn't know, oh, oh24Embed"
5,3St0RlsL0Z0klK1mqWakQm,spotify:track:3St0RlsL0Z0klK1mqWakQm,If I Let You Go - Radio Edit,Westlife,221266,False,2,1999-11-01,69,0.581,0.678,0,-4.242,0.0284,0.00669,0.0,0.0807,0.677,1,181.991,"If I Let You Go (Radio Edit) Lyrics[Verse 1]
Day after day
Time passed away
And I just can't get you out of my mind
Nobody knows, I hide it inside
I keep on searching but I can't find
The courage to show to letting you know
I've never felt so much love before
And once again I'm thinking about
Taking the easy way out
[Chorus]
But if I let you go I will never know
What my life would be holding you close to me
Will I ever see you smiling back at me? Oh yeah
How will I know if I let you go?

[Verse 2]
Night after night I hear myself say
Why can't this feeling just fade away
There's no one like you (no one like you)
You speak to my heart (speak to my heart)
It's such a a shame we're worlds apart
I'm too shy to ask, I'm too proud to lose
But sooner or later I gotta choose
And once again I'm thinking about
Taking the easy way out

[Chorus]
But if I let you go I will never know
What my life would be, holding you close to me
Will I ever see you smiling back at me? Oh yeah
How will I know if I let you go?

[Bridge]
If I let you go, ooh baby
Oh–
Once again I'm thinking about
Taking the easy way out
You might also like[Chorus]
But if I let you go I will never know
What my life would be, holding you close to me
Will I ever see you smiling back at me? Oh yeah
How will I know if I let you go?
But if I let you go I will never know
Will I ever see you smiling back at me? Oh yeah
How will I know if I let you go?Embed"
6,6si71supnBUhddjR2FJc2L,spotify:track:6si71supnBUhddjR2FJc2L,White Flag,Dido,240040,False,1,2003,71,0.509,0.537,5,-6.834,0.0384,0.347,7.29e-06,0.0805,0.311,1,170.03,"White Flag Lyrics[Verse 1]
I know you think that I shouldn't still love you
Or tell you that
But if I didn't say it, well, I'd still have felt it
Where's the sense in that?
I promise I'm not trying to make your life harder
Or return to where we were

[Chorus]
But I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
[Verse 2]
I know I left too much mess and destruction
To come back again
And I caused nothing but trouble
I understand if you can't talk to me again
And if you live by the rules of ""it's over""
Then I'm sure that that makes sense

[Chorus]
But I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be

[Bridge]
And when we meet
Which I'm sure we will
All that was there
Will be there still
I'll let it pass
And hold my tongue
And you will think
That I've moved on

[Chorus]
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
You might also like[Outro]
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be25Embed"
7,1wb4P4F0sxAQ2KXrRvsx6n,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,Shania Twain,212200,False,10,1997-11-04,77,0.585,0.494,3,-8.751,0.0353,0.363,0.0,0.0886,0.634,1,133.822,"TranslationsBahasa IndonesiaYou’re Still the One Lyrics[Intro]
When I first saw you, I saw love
And the first time you touched me, I felt love
And after all this time
You're still the one I love
Mmm, yeah

[Verse 1]
Looks like we made it
Look how far we've come, my baby
We mighta took the long way
We knew we'd get there someday
[Pre-Chorus]
They said, ""I bet they'll never make it""
But just look at us holdin' on
We're still together, still goin' strong

[Chorus]
(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight

[Verse 2]
Ain't nothin' better
We beat the odds together
I'm glad we didn't listen
Look at what we would be missin'

[Pre-Chorus]
They said, ""I bet they'll never make it""
But just look at us holdin' on
We're still together, still goin' strong

[Chorus]
(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight
You're still the one
You might also like[Interlude]
(Ooh, ooh, ooh)
Yeah

[Chorus]
(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life, oh, yeah
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight

[Outro]
I'm so glad we made it
Look how far we've come, my baby16Embed"
8,7dcTSq2HC4kzvcWFcSfJy1,spotify:track:7dcTSq2HC4kzvcWFcSfJy1,Lucky One,Amy Grant,249386,False,1,1994,29,0.505,0.718,10,-4.878,0.0266,0.43,4.46e-06,0.176,0.744,1,185.804,"Lucky One LyricsYou're the kind
When you love you love with all your might
And you're the kind
I would dream about at night
Now I'm the lucky one
Baby, I'm the lucky one

You're the kind
That I want to be with in the dark and
You're the kind who is capturing my heart
And I'm the lucky one
Baby, I'm the lucky one
And I have never been the one to fall in love so soon
But I could never face another night or day without you
Baby, I'm the lucky one

You're the kind
With poetry and valentines and
You're the kind
Who will never ever leave
And I'm the lucky one
The luckiest girl, my my baby
Baby I'm the lucky one

And I have never been the one to fall in love so soon
But I could never face another night or day without you
I'm the lucky one
Baby I'm the lucky one

I said, doo doo doo
The lucky one
Doo doo doo doo
My my baby
Doo doo doo
The lucky oneYou might also likeEmbed"
9,0gcjc7Vt5xtcfmJgf6g2IO,spotify:track:0gcjc7Vt5xtcfmJgf6g2IO,When You Say Nothing At All,Ronan Keating,256825,False,6,2000-01-01,73,0.461,0.448,7,-10.665,0.0246,0.161,1.18e-06,0.0811,0.418,1,173.86,"TranslationsΕλληνικάWhen You Say Nothing At All Lyrics[Verse 1]
It's amazing how you can speak right to my heart
Without saying a word, you can light up the dark
Try as I may I can never explain
What I hear when you don't say a thing

[Chorus]
The smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me wherever I fall
You say it best when you say nothing at all
[Verse 2]
All day long I can hear people talking out loud
But when you hold me near, you drown out the crowd
Try as they may they could never define
What's been said between your heart and mine

[Chorus]
The smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me wherever I fall
You say it best, you say it best, when you say nothing at all

[Instrumental Bridge]

[Chorus]
Oh, the smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me wherever I fall
You say it best, you say it best, when you say nothing at all

[Outro]
You say it best when you say nothing at all
You say it best when you say nothing at all
That smile on your face
The truth in your eyes, the touch of your hand
Let's me know that you need me
You say it best when you say nothing at all
You say it best when you say nothing at allYou might also like3Embed"
10,4zRZAmBQP8vhNPf9i9opXt,spotify:track:4zRZAmBQP8vhNPf9i9opXt,8 Letters,Why Don't We,190026,False,1,2018-08-31,74,0.607,0.478,1,-5.702,0.031,0.649,0.0,0.0928,0.255,0,88.979,"Translationsไทย / Phasa ThaiEspañol8 Letters Lyrics[Verse 1: Jonah Marais]
You know me the best
You know my worst, see me hurt, but you don't judge
That, right there, is the scariest feeling
Opening and closing up again
I've been hurt so I don't trust
Now here we are, staring at the ceiling

[Pre-Chorus: Zach Herron]
I've said those words before but it was a lie
And you deserve to hear them a thousand times
[Chorus: Jack Avery & Corbyn Besson]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?

[Verse 2: Daniel Seavey]
Isn't it amazing
How almost every line
On our hands align
When your hand's in mine
It's like I'm whole again
Isn't that a sign?
I should speak my mind

[Pre-Chorus: Zach Herron]
I've said those words before but it was a lie
And you deserve to hear them a thousand times

[Chorus: Jack Avery & Corbyn Besson]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say? (Woah, oh, yeah)
You might also like[Bridge: Jack Avery]
When I close my eyes
It's you there in my mind
When I close my eyes

[Chorus: Corbyn Besson & Jack Avery]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?

[Outro: Corbyn Besson & Jack Avery & Daniel Seavey]
If all it is is eight letters
When I close my eyes
It's you there in my mind  (It's only you)
When I close my eyes
If all it is is eight letters
When I close my eyes
It's you there in my mind (You)
When I close my eyes
If all it is is eight letters138Embed"
