index,id,uri,title,artist,duration_ms,explicit,track_number,release_date,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,tempo,raw_lyrics
2,18lq8FwQ94jlSk95PTM7Mr,spotify:track:18lq8FwQ94jlSk95PTM7Mr,Around The World,Aqua,209760,False,2,2000-01-01,53,0.705,0.976,6,-4.261,0.0309,0.00213,0.000158,0.342,0.967,1,129.952,"[00:05.41]I've been around the world
[00:09.96]Hey, hey I've been around the world 
[00:17.29]Hey, hey In the kitchen where 
[00:22.49]I'm cooking what is good for me 
[00:25.28]Spices from the globe 
[00:29.16]Little by little it's the finest meal
[00:32.55]It's appetite for hope 
[00:35.76]come and see You mix it all together in your dreams 
[00:40.41]Ingredients from the seven Seas 
[00:43.20]and I'm realizing things ain't what they seem 
[00:47.75]That's the riddle of it That's the spirit of it
[00:51.37]That's the power of life
[00:53.31]I've been around the world (Round the world)
[00:57.31]And I've seen it all (Seen it all)
[01:00.66]I've been around the world (Round the world)
[01:04.42]The sun will always rise and fall
[01:08.03]I've been around the world (Round the world)
[01:12.02]And I want you to see (Seen it all)
[01:15.33]I've been the only girl (Round the world) 
[01:19.40]All surrounded by mystery
[01:22.65]
[01:25.44]In the living room I'm cleaning up from top to floor 
[01:30.00]the place I love the most
[01:33.66]The wall is covered up with all my souvenirs
[01:37.20]I've got from coast to coast,come and see 
[01:41.32]You mix it all together in your dreams 
[01:44.97]Ingredients from the seven Seas 
[01:47.74]and I'm realizing things ain't what they seem 
[01:52.38]That's the riddle of it That's the spirit of it 
[01:56.04]That's the power of life
[01:58.00]I've been around the world (Round the world)
[02:01.88]And I've seen it all (Seen it all)
[02:05.32]I've been around the world (Round the world) 
[02:08.98]The sun will always rise and fall 
[02:12.72]I've been around the world (Round the world)
[02:16.59]And I want you to see (Seen it all)
[02:20.04]I've been the only girl (Round the world) 
[02:23.98]All surrounded by mystery
[02:29.40]I'm still coming around 
[02:31.39]I keep chasing dreams 
[02:33.05]Girl, I keep coming around 
[02:35.61]Hey, Hey I keep coming around 
[02:38.58]And I can never stop 
[02:40.44]Girl, I keep coming around 
[02:42.17]Cause if I do I'll walk Around around 
[02:46.63]around the world 
[02:49.61]I've been around the world (Round the world) 
[02:54.26]Hey hey (Seen it all) 
[02:57.09]I've been around the world (Round the world)
[03:00.89]All surrounded by mystery 
[03:04.33]I've been around the world (Round the world)
[03:08.32]And I've seen it all (Seen it all)
[03:11.84]I've been around the world (Round the world)
[03:16.95]The sun will always rise and fall Round the world 
[03:23.37]"
3,4mdyVTV7Tr5YDFnD2kvSM4,spotify:track:4mdyVTV7Tr5YDFnD2kvSM4,Bruises,Chairlift,241466,False,4,2008,54,0.579,0.554,0,-7.08,0.0587,0.0175,0.0221,0.101,0.838,1,185.183,"[00:23.33]I tried to do handstands for you
[00:25.73]I tried to do headstands for you
[00:28.74]Every time I fell on you
[00:30.96]Yeah every time I fell
[00:33.42]I tried to do handstands for you
[00:36.11]But every time I fell for you
[00:38.73]I'm permanently black and blue
[00:41.70]Permanently blue for you
[00:55.24]
[01:04.74]I tried to do handstands for you
[01:07.31]I tried to do headstands for you
[01:10.27]Every time I fell on you
[01:12.46]Yeah every time I fell
[01:14.93]I tried to do handstands for you
[01:17.59]But every time I fell for you
[01:20.26]I'm permanently black and blue
[01:23.17]Permanently blue for you-woo...
[01:30.25]For you-woo...
[01:35.63]So black and blue-woo...
[01:40.40]For you-woo...
[01:50.40]
[02:07.00]I grabbed some frozen strawberries
[02:09.52]So I could ice your bruisy knees
[02:12.49]But frozen things they all unfreeze and now I taste like
[02:17.24]All those frozen strawberries I used to chill your bruisy knees
[02:22.78]Hot July ain't good to me
[02:25.04]I'm pink and black and blue
[02:27.60]I got bruises on my knees for you
[02:30.24]And grass stains on my knees for you
[02:32.87]Got holes in my new jeans for you
[02:35.33]Got pink and black and blue
[02:37.72]Got bruises on my knees for you
[02:40.46]And grass stains on my knees for you
[02:43.20]Got holes in my new jeans for you
[02:45.78]Got pink and black and blue for 	you-woo...
[02:53.04]For you-woo...
[02:58.14]So black and blue-woo...
[03:03.81]For you-woo...
[03:09.71]Do-do-o-do-do-do
[03:12.31]Do-do-o-do-do-do
[03:14.94]Do-do-o-do-do-do
[03:17.43]Do-do-o-do-do-do
[03:20.14]Do-do-o-do-do-do
[03:22.64]Do-do-o-do-do-do
[03:25.38]Do-do-o-do-do-do
[03:27.92]Do-do-o-do-do-do
[03:30.23]
"
4,0rFOs9paloAvEtzwDX1Kmc,spotify:track:0rFOs9paloAvEtzwDX1Kmc,Bubbly,Colbie Caillat,196280,False,4,2007-01-01,66,0.697,0.474,9,-6.663,0.0351,0.603,0.0,0.11,0.249,1,127.904,"[00:12.51]will you come in...
[00:16.55]I've been awake for a while now
[00:20.23]you've got me feelin like a child now
[00:23.84]cause every time i see your bubbly face
[00:27.70]i get the tinglies in a silly place
[00:30.11]It starts in my toes
[00:31.57]then i crinkle my nose
[00:33.37]where ever it goes i always know
[00:37.48]that you make me smile
[00:39.40]please stay for a while now
[00:41.48]just take your time
[00:43.12]where ever you go
[00:45.04]
[00:46.38]The rain is fallin on my window pane
[00:50.14]but we are hidin in a safer place
[00:54.03]under the covers stayin safe and warm
[00:57.67]you give me feelins that i adore
[01:00.14]It starts in my toes
[01:01.65]makes me crinkle my nose
[01:03.84]where ever it goes i always know
[01:07.54]that you make me smile
[01:09.03]please stay for a while now
[01:11.47]just take your time
[01:13.09]where ever you go
[01:15.15]
[01:17.88]What am i gonna say
[01:23.46]
[01:25.55]when you make me feel this way
[01:29.91]I just........mmmmmmmmmmm
[01:34.01]It starts in my toes
[01:35.40]makes me crinkle my nose
[01:37.13]where ever it goes i always know
[01:41.32]that you make me smile
[01:42.70]please stay for a while now
[01:45.22]just take your time
[01:46.83]where ever you go
[01:49.16]
[02:05.19]I've been asleep for a while now
[02:08.89]You tucked me in just like a child now
[02:12.54]Cause every time you hold me in your arms
[02:16.27]Im comfortable enough to feel your warmth
[02:18.91]It starts in my soul
[02:20.17]And I lose all control
[02:22.07]When you kiss my nose
[02:24.40]The feelin shows
[02:26.31]Cause you make me smile
[02:27.81]Baby just take your time
[02:29.64]Holdin me tight
[02:33.45]
[02:35.02]Where ever, where ever, where ever you go
[02:43.81]Where ever, where ever, where ever you go...
[02:52.04]
[02:53.87]where ever you go... i always know
[03:03.65]cause you make me smile in just for a while
[03:08.88]"
5,4wVURZ53jU7NJIWKTuVrrq,spotify:track:4wVURZ53jU7NJIWKTuVrrq,Captains and Cruise Ships,Owl City,208640,False,2,2007,29,0.673,0.495,7,-8.299,0.0328,0.442,0.0,0.0506,0.91,1,62.647,"[00:01.44]I am stuck in L.A.
[00:05.30]Through the week and can't get away
[00:08.77]And you're alone on the pier
[00:12.64]In West Palm Beach on your holiday
[00:16.82]Stormy night, reawake
[00:20.69]the stomach ache that i've acquired
[00:24.89]from feeling down, things look grim
[00:28.64]and i'm so sick of being tired
[00:32.39]apartment lights go dark
[00:36.20]and it's depressing but what can i do?
[00:39.46]the midnight streets feel dead
[00:43.85]when i am so used to driving with you
[00:47.90]brighter lights fill the night and
[00:51.53]bluer skys reflect in your eyes
[00:55.31]As I inspect and analyze
[00:59.24]All of these dreams I don't recognize
[01:03.01]if you're still up when the ships
[01:06.80]in the port prepare to set sail
[01:10.71]comb the beach and put those blue flowers up in your ponytail
[01:18.38]inside my head
[01:20.99]you're voice is still resounding but what can i do?
[01:25.80]Empty rooms feel cold when I am so used to being with you
[01:33.22]Count the stars, watch the waves absorb the summer sun
[01:39.09]and think of me
[01:41.01]when you explore hidden coves and tiny island chains throughout the sea
[01:48.41]Can you still
[01:50.61]hear my voice
[01:52.49]when I'm outside from over the phone
[01:56.60]For what its worth
[01:58.47]darling dear
[02:00.13]I wish you were here
[02:02.42]Cause I feel alone
[02:04.06]when you were home we'd sing but since you've left I don't hear anything
[02:12.00]Though I feel so sad, I can't believe things are really that bad
[02:19.23]Old captains and brand new cruise ships
[02:22.80]Sailing over the briney sea
[02:26.44]When I crashed my beloved desk job
[02:30.81]And swim through the debris
[02:34.07]I'll cut loose leave this mad house,bound for the Atlantic blue
[02:42.17]I'll stroll down your treelined driveway
[02:45.87]and sail the ocean with you
[02:49.00]Happy Chinese Valentine's Day!
[02:52.23]For YYT
[02:53.45]by vfind
[02:56.08]07.Aug.2008
[02:59.48]
"
6,52a6VcF23v5HB7KfDEmBHq,spotify:track:52a6VcF23v5HB7KfDEmBHq,Carried Away,Passion Pit,221973,False,3,2012-07-23,57,0.772,0.826,0,-5.135,0.0344,0.0176,8.56e-06,0.383,0.871,1,119.995,"[00:16.52]Since my heart is golden
[00:18.46]I've got sense to hold in
[00:20.40]Tempted just to make an ugly scene
[00:24.59]No I'm not as proper
[00:26.27]My money's in copper
[00:28.40]Ripped down from the brownstones to the street
[00:31.31].
[00:31.87]Listen, I'm your friend, don't quote me
[00:34.43]But not a friend worth noting
[00:36.18]Yes, please don't ever note me as your friend
[00:40.49]Who says we have cold hearts?
[00:42.24]Acting out our old parts
[00:44.43]Dance before my favorite little scene, oh oh oh oh
[00:48.62].
[00:48.87]I get carried away, carried away, from you
[00:55.24]When I'm open and afraid
[00:56.62]Cause I'm sorry, sorry 'bout that
[00:59.49]Sorry 'bout things that I've said
[01:02.56]Always let it get in my way
[01:05.05].
[01:20.62]All your appeal, once again we'd feel
[01:24.43]Higher education making sense
[01:28.62]Justify your thesis, certain that you need this
[01:32.37]Tell me what your point is in defense
[01:35.18].
[01:35.87]Listen, I don't really know you
[01:38.31]And I don't think I want to
[01:40.24]But I think I can fake it if you can
[01:44.43]Let's agree there's no need, no more talk of money
[01:48.24]Let's just keep pretending to be friends, oh oh oh
[01:52.43].
[01:52.68]I get carried away, carried away, from you
[01:58.50]When I'm open and afraid
[02:00.06]Cause I'm sorry, sorry 'bout that
[02:03.25]Sorry 'bout things that I've said
[02:06.43]Always let it get in my way
[02:08.62]I get carried away, carried away, from you
[02:14.43]When I'm open and afraid
[02:16.18]Cause I'm sorry, sorry 'bout that
[02:19.37]Sorry 'bout things that I've said
[02:22.50]Always let it get in my way
[02:24.68].
[02:24.93]Wake up in the morning, wake up in the evening
[02:28.43]Wake up when you want to
[02:30.56]'Cause no one's really watching
[02:32.31]Wish you had something to say about it
[02:36.24]But we all have problems
[02:40.37]We're all having problems
[02:44.24]And we all got something to say
[02:48.12].
[02:48.56]I get carried away, carried away, from you
[02:54.39]When I'm open and afraid
[02:55.78]'Cause I'm sorry, sorry 'bout that
[02:59.28]Sorry 'bout things that I've said
[03:02.40]Always let it get in my way
[03:04.59]I get carried away, carried away, from you
[03:10.22]When I'm open and afraid
[03:11.97]'Cause I'm sorry, sorry 'bout that
[03:15.34]Sorry 'bout things that I've said
[03:18.40]Always let it get in my way
"
7,7vJgjjXD9spt5fgaSPox9z,spotify:track:7vJgjjXD9spt5fgaSPox9z,Cartoon Heroes - Radio Edit,Aqua,219440,False,1,2000-01-01,50,0.679,0.989,1,-3.896,0.0517,0.0195,0.0,0.0588,0.801,1,128.03,"[00:07.73]We are what we're supposed to be
[00:11.70]Illusions of your fantasy
[00:15.59]All dots and lines that speak and say
[00:18.64]What we do is what you wish to do
[00:23.26]We are the color symphony
[00:26.81]We do the things you wanna see
[00:30.50]Frame by frame, to the extreme
[00:34.07]Our friends are so unreasonable
[00:37.87]They do the unpredictable
[00:41.75]All dots lines that speak and say
[00:45.04]What we do is what you wish to do
[00:49.26]It's all an orchestra of strings
[00:52.94]Doin' unbelievable things
[00:56.47]Frame by frame, to the extreme
[00:59.57]One by one, we're makin' it fun
[01:03.27]We are the Cartoon Heroes - oh-oh-oh
[01:07.60]We are the ones who're gonna last forever
[01:11.10]We came out of a crazy mind - oh-oh-oh
[01:14.99]And walked out on a piece of paper
[01:18.60]Here comes Spiderman, arachnophobian
[01:22.68]Welcome to the toon town party
[01:26.78]Here comes Superman, from never-neverland
[01:30.08]Welcome to the toon town party
[01:36.04]We learned to run at speed of light
[01:39.57] And to fall down from any height
[01:43.58]It's true, but just remember that
[01:46.74]What we do is what you just can't do
[01:51.03]And all the worlds of craziness
[01:54.56]A bunch of stars that's chasing us Frame by frame, to the extreme
[02:01.08]One by one, we're makin' it fun
[02:05.43]We are the Cartoon Heroes - oh-oh-oh
[02:09.12]We are the ones who're gonna last forever
[02:13.16]We came out of a crazy mind - oh-oh-oh
[02:16.77]And walked out on a piece of paper
[02:20.52]Here comes Spiderman, arachnophobian
[02:24.70]Welcome to the toon town party
[02:28.36]Here comes Superman, from never-neverland
[02:31.87]Welcome to the toon town party
[02:35.61]You think we're so mysterious
[02:39.67]Don't take us all too serious
[02:43.37]Be original, and remember that
[02:47.12]What we do is what you just can't do
[02:50.83]What we do is what you just can't do
[02:54.45]What we do is what you just can't do
[02:58.25]What we do is what you just can't do
[03:01.51] What we do is what you just can't do
[03:05.35]We are the Cartoon Heroes - oh-oh-oh
[03:09.80]We are the ones who're gonna last forever
[03:13.21]We came out of a crazy mind - oh-oh-oh
[03:16.93]And walked out on a piece of paper
[03:21.23]There's still more to come And everyone will be
[03:24.40]Welcomed at the Toon -
[03:27.14]Toon Town -
[03:30.74]Town Party
[03:37.57]
"
8,5EJoHe1eh5vNhwfvWO8KpP,spotify:track:5EJoHe1eh5vNhwfvWO8KpP,Caskets,Damien Jurado,178746,False,3,2008-09-09,18,0.606,0.581,6,-9.767,0.0321,0.266,0.447,0.0972,0.155,1,131.017,"[00:31.14]Two tickets on a Chevrolet train
[00:33.71]I've got a suicide pact with your name
[00:36.06]
[00:37.88]You can doubt any doubt any move that is made
[00:41.25]cause I'm putting the worries to page
[00:44.04]
[00:45.86]In a flash you'll be quick to react
[00:48.36]I'm a useful spade for the grave
[00:50.70]
[00:52.84]Collect calls to the shadow in town
[00:55.46]So what were the chances of saying
[00:58.00]
[00:59.38]You must remove the skin and burn it all for fuel
[01:05.93]
[01:22.51]Knock out teeth to improve how you look
[01:25.04]
[01:25.88]And you're using your tongue for a flag
[01:27.65]
[01:29.62]You look tired in you funeral suit
[01:32.30]There's caskets for all to be had
[01:34.84]
[01:37.07]Real estate cemetery, move over
[01:40.62]I'm useful as bones in the tomb
[01:42.23]
[01:44.36]Gas drinks for the shadow in town
[01:47.00]Because another record is due
[01:49.38]
[01:50.27]You must remove the skin and burn it all for fuel
[01:56.63]
[01:58.21]You must remove the skin and burn it all for fuel
[02:06.03]
"
9,0IwJCaHk8WSmLYyyXaOy4b,spotify:track:0IwJCaHk8WSmLYyyXaOy4b,Catholic Pagans,Surfer Blood,192893,False,10,2010-01-19,19,0.442,0.489,0,-7.74,0.0356,0.8,4.04e-05,0.223,0.218,1,121.113,"[00:23.47]Be still for long
[00:25.16]And I could never hold a job.
[00:28.78]
[00:29.34]Coupled with
[00:30.66]
[00:31.35]A weakness for cocaine and liquor
[00:34.53]Not much you can do for love.
[00:36.84]
[00:37.65]When I met you,
[00:39.28]I broke the mold.
[00:40.64]
[00:41.20]I fell apart and combed my hair.
[00:44.42]
[00:45.17]Whiskey stinks
[00:46.44]
[00:47.07]For ten whole days
[00:49.08]Stayed off the streets at night for weeks.
[00:52.33]
[00:55.02]I don＇t wanna be a catholic pagan
[00:57.75]
[00:58.44]Now that you＇re here.
[01:00.13]
[01:00.89]We fell in awe each other for love,
[01:04.90]Survival, and everything else.
[01:07.15]
[01:29.16]Please don＇t padlock
[01:30.90]Your parents＇ bomb shelter,
[01:32.78]Or fill her up with dust and ash.
[01:36.19]
[01:36.70]A landfill mecca
[01:38.28]For burnouts and whistlers,
[01:40.29]
[01:40.94]Adolescent sour mash.
[01:43.89]I＇m not saying
[01:46.65]That I＇m unloved,
[01:48.60]But I could really use it now.
[01:51.73]
[01:52.25]So turn out the lights
[01:54.50]Over and over and over,
[01:57.14]
[01:57.64]We＇ll figure out the rest somehow.
[01:59.77]
[02:02.32]I don＇t wanna be your rush-in bride,
[02:05.39]Not anymore.
[02:06.82]
[02:08.26]But I could say
[02:10.45]Apollo would have a field day if he knew at all.
[02:14.95]
[02:15.76]Sooo, I have to gooo...
[02:23.84]
[02:24.40]Ohhhh, have to goooo...
"
10,036GQb6SETOJJG8BxJTNxc,spotify:track:036GQb6SETOJJG8BxJTNxc,Chloe (You're the One I Want),Emblem3,222986,False,4,2013-07-26,51,0.71,0.925,0,-3.329,0.0359,0.039,0.0,0.127,0.93,1,118.024,"[00:00.67]Chloe, I know your sister turns everyone on
[00:07.91]But you're the one I want
[00:09.79]
[00:12.09]But you're the one I want, yeah
[00:15.52]
[00:16.02]Emblem3 - Chloe （You're The One I Want
[00:16.89]
[00:17.33]Front page magazine
[00:18.89]Everybody says that she's the queen
[00:21.17]But that's you to me
[00:22.86]I just want to let you know that
[00:24.54]
[00:25.17]She likes the flashing lights
[00:26.85]I love the way that you like candle light
[00:28.60]
[00:29.23]Stay close by my side
[00:30.97]I just want a chance to show that
[00:32.72]
[00:34.15]If only you could believe in yourself
[00:35.97]In the way I believe in you
[00:37.52]
[00:38.53]I-I do （but you're the one I want）
[00:42.33]If only you could see all of the
[00:43.83]beautiful things that I see in you
[00:45.57]
[00:47.14]It's true-oo-oo-oo
[00:49.45]Chloe, I know your sister turns everyone on
[00:56.12]
[00:57.12]But, oh, baby, I have no doubt
[01:02.23]you're the one that I want （ooh-ooh-oo）
[01:05.23]
[01:05.92]You think she's got it all
[01:07.41]but that don't make her better
[01:09.91]You got my heart and
[01:11.16]that's the only thing that matters
[01:13.72]Chloe, I know your sister turns everyone on
[01:20.52]
[01:21.20]But you're the one I want
[01:23.50]
[01:25.25]But you're the one I want, yeah
[01:28.25]
[01:30.05]Fast lanes, limousines
[01:31.99]Baby, there can be no guarantees
[01:33.74]
[01:34.30]But if, you're with me,
[01:36.05]you know I can guarantee yeah
[01:38.10]Cause I'm attracted to your passion,
[01:40.23]Be yourself, forget the fashion
[01:41.92]
[01:42.47]Just keep that smile on, that you're flashing
[01:44.22]You and I deserve to be forever ever lasting
[01:46.34]
[01:47.34]If only you could believe in yourself
[01:49.09]In the way I believe in you
[01:51.27]
[01:51.83]I-I do （but you're the one I want）
[01:55.64]If only you could see all of the
[01:57.07]beautiful things that I see in you
[01:59.32]
[02:00.38]It's true-oo-oo-oo
[02:02.50]Chloe, I know your sister turns everyone on
[02:09.43]
[02:10.05]But, oh, baby, I have no doubt
[02:15.48]you're the one that I want （ooh-ooh-oo）
[02:19.23]You think she's got it all
[02:20.60]but that don't make her better
[02:23.20]You got my heart and
[02:24.38]that's the only thing that matters
[02:26.94]Chloe, I know your sister turns everyone on
[02:34.47]But you're the one I want, yeah
[02:38.59]But you're the one I want, yeah
[02:41.65]All you Chloe's,
[02:43.27]All you Chloe's
[02:44.77]
[02:45.39]They don't show you love enough （hoo-hoo-hoo-hoo）
[02:48.39]
[02:49.38]All you Chloe's
[02:51.38]You should know that
[02:53.61]you're my diamond in the rough
[02:55.92]
[02:57.48]It's true-oo-oo-oo
[02:59.47]Chloe, I know your sister turns everyone on
[03:07.02]But, oh, baby, I have no doubt
[03:12.33]you're the one that I want （ooh-ooh-oo）
[03:15.45]
[03:16.13]You think she's got it all
[03:17.57]but that don't make her better
[03:20.00]You got my heart and
[03:21.31]that's the only thing that matters
[03:23.87]Chloe, I know your sister turns everyone on
[03:31.30]But you're the one I want
[03:33.73]
[03:35.48]But you're the one I want, yeah
[03:38.47]
[03:39.60]（ooh-ooh-oo）
"
11,6COzRkOa5o0TrsVcSjJHrO,spotify:track:6COzRkOa5o0TrsVcSjJHrO,Choose Love,Ringo Starr,188121,False,8,2005-06-07,9,0.608,0.658,2,-7.099,0.027,3.13e-05,0.0368,0.39,0.776,1,122.017,"[00:17.59]Dark clouds in my head disappear
[00:24.90]The sky is turning blue, now you're here
[00:32.84]We've come a long way, day after day, we still got a long way to go
[00:42.49]You've got to pay your dues, if you want to sing the blues
[00:48.49]But, no matter what you choose, choose love
[00:53.29]
[01:00.55]The Long and Winding Road, is more than a song
[01:08.43]Tomorrow Never Knows, What Goes On
[01:16.18]To live your life right, you've got to let in the light, and let all the darkness go
[01:24.42]You've got to pay your dues, if you want to sing the blues
[01:32.69]But, no matter who you choose, choose love
[01:37.56]
[01:40.93]Love, love, love, love, love
[01:44.69]
[01:59.32]Choose Love!
[02:00.57]
[02:06.82]You've got to pay your dues, if you want to sing the blues
[02:13.82]But, no matter how you choose
[02:18.63]You've got to pay your dues, if you want to sing the blues
[02:26.20]But, no matter what you choose, choose love
[02:37.07]Choose love, choose love, choose love
[02:47.95]Love is the answer
"
