,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,sentiment
0,0wsXdby1T3PWLauIkGUZzg,Hula Hoop,OMI,60,2015-10-16,0.673,0.842,1,-4.666,1,0.0248,0.0,0.294,0.509,121.986,205474,4,"Hula Hoop Lyrics[Intro]
Oh, hey

[Verse 1]
Rollerskates, tan lines
Hot sun clear blue skies
The waves are crashing by
And when she passed me by
And gave a wink and smile
And I was on cloud nine
Lord
[Pre-Chorus]
The way you move your hips
And lick your lips
The way you dip
You got me up so high (hey-ey)
And girl you got that body
With them curves like a Bugatti
I just wanna drive, oh

[Chorus]
And girl you know
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Oh-oh-oh-oh

[Verse 2]
And gravity defied
I can't believe my eyes
That thing can bring the tides, hey
And round and round clockwise
Like a merry-go-ride
I wanna go all night, yes
You might also like[Pre-Chorus]
The way you move your hips
And lick your lips
The way you dip
You got me up so high, yeah (hey-ey)
And girl you got that body
With them curves like a Bugatti
I just wanna drive, oh

[Chorus]
And girl you know
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh

[Bridge]
Oh-oh-oh, yeah
Oh-oh-oh, oh
Oh-oh-oh, yeah
Like a hula, hula hoop, hula, hula hoop, oh
[Chorus]
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh

[Outro]
Oh-oh-oh-oh
Round and round your loving winds me up
Like a hula, hula hoop, hula, hula hoop, oh8Embed",happy
1,4lhqb6JvbHId48OUJGwymk,Hey Brother,Avicii,77,2013-01-01,0.545,0.78,7,-4.867,0,0.0309,4.64e-05,0.0828,0.458,125.014,255093,4,"Hey Brother Lyrics[Verse 1]
Hey, brother
There's an endless road to rediscover
Hey, sister
Know the water's sweet but blood is thicker

[Chorus]
Oh, if the sky comes falling down
For you, there's nothing in this world I wouldn't do

[Verse 2]
Hey, brother
Do you still believe in one another?
Hey, sister
Do you still believe in love?
I wonder
[Chorus]
Oh, if the sky comes falling down
For you, there's nothing in this world I wouldn't do

[Post-Chorus]
What if I'm far from home?
Oh brother, I will hear you call
What if I lose it all?
Oh sister, I will help you out
Oh, if the sky comes falling down
For you, there's nothing in this world I wouldn't do

[Instrumental Break]

[Verse 3]
Hey, brother
There's an endless road to rediscover
Hey, sister
Do you still believe in love?
I wonder

[Chorus]
Oh, if the sky comes falling down
For you, there's nothing in this world I wouldn't do

[Post-Chorus]
What if I'm far from home?
Oh brother, I will hear you call
What if I lose it all?
Oh sister, I will help you out
Oh, if the sky comes falling down
For you, there's nothing in this world I wouldn't doYou might also like116Embed",happy
2,1Cq23W4ZxHTY8QbP40qjEc,All I Wanna Do,Martin Jensen,52,2016-04-08,0.728,0.794,1,-3.992,1,0.148,0.0,0.0688,0.523,112.071,194360,4,"All I Wanna Do Lyrics[Verse 1]
Looking through your window
Maybe you're not home, oh
I tried to call your number
So now I leave another message on your phone, oh-oh-oh, yeah

[Pre-Chorus]
I'm not a stalker, I just gotta know
How it feels when I hold you close
So tell me what you like
'Cause I'm runnin' out of time
Promise you I'm not insane
Somethin' 'bout you that I can't explain
I'm going out of my mind
[Chorus]
Yeah, all I wanna do is make love to you
I'll hold you tight, treat your body right
All I wanna do is stay the night with you
I'll hold you tight, treat your body right, yeah

[Post-Chorus]
I'll hold you tight, treat your body right, yeah

[Verse 2]
Staring at your picture
It's hanging on my wall
Yeah, I even called your mama
To ask her how to get through to your heart
And I said

[Pre-Chorus]
I'm not a stalker, I just gotta know
How it feels when I hold her close
So tell me what she likes
'Cause I'm runnin' out of time
Promise you I'm not insane
Somethin' 'bout her that I can't explain
I'm going out of my mind

[Chorus]
Yeah, all I wanna do is make love to you
I'll hold you tight, treat your body right
All I wanna do is stay the night with you
I'll hold you tight, treat your body right
Yeah, all I wanna do is make love to you
I'll hold you tight, treat your body right
All I wanna do is stay the night with you
I'll hold you tight, treat your body right, yeah
You might also like[Post-Chorus]
I'll hold you tight, treat your body right, yeah4Embed",happy
3,3rchFjeKZ0bJxO7EEdM3S5,Paparazzi,Kim Dracula,1,2020-12-11,0.677,0.685,4,-5.643,0,0.0739,0.0,0.107,0.177,91.008,192358,4,"Paparazzi Lyrics[Verse]
We are the crowd, we're c-coming out
Got my flash on, it's true, need that picture of you
It's so magical
We'd be so fantastical, yeah, yeah-yeah
Leather and jeans, garage glamorous
Not sure what it means, but this photo of us
It don't have a price
Ready for those flashing lights
'Cause you know that, baby, I
[Chorus]
I'm your biggest fan, I'll follow you until you love me
Papa-paparazzi
Baby, there's no other superstar you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine
Baby, you'll be famous, chase you down until you love me
Papa-paparazzi

[Bridge]
I think you should know that I see other people and they see mе looking back
Baby, don't you break my heart I told you that it's made of glass
I'ma makе it fast, step it up, I'll step my foot on the gas
Look at the past blast, I’m a make you fall on your ass
Suck it up and pacify, but it’s irrelevant
Y'all motherfuckers do it for the hell of it
Say you care if I cry, you lie
If I put 'em side by side, you sigh
(Ah) Care if I cry, you lie
If I put 'em side by side, you die
(Ah) Care if I cry, you lie
If I put 'em side by side, side by side

[Chorus]
I'm your biggest fan, I'll follow you until you love me
Papa-paparazzi
Baby, there's no other superstar you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine
Baby, you'll be famous, chase you down until you love me
Papa-paparazziYou might also like15Embed",angry
4,1zOOl8f7qkjj0AmvlCfLyQ,The Drum,Alan Walker,70,2022-04-29,0.783,0.762,6,-4.727,1,0.158,6.56e-05,0.092,0.33,127.993,189288,4,"The Drum Lyrics[Verse 1]
Ooh, I can't pretend
Like you didn't bring my tempo up again (Tempo up again)
My head's in a spin
You send my body to a place it's never been

[Chorus]
Baby, won't you let me
Keep you up all night, let the morning come closer
You send me so high now, the ceiling can't hold us
Listen to my heart, let the rhythm control ya
I'll be there when you need my love
Just follow the beat of my drum (Drum, drum, drum, drum, drum)
[Drop]
It goes um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Just follow the beat of my drum

[Verse 2]
Ooh, I can't pretend
Like I didn't let your love go to my head, ah-ah, mm-mm
Ooh, I'm in a spin
You send my body to a place it's nеver been, ah-ah

[Pre-Chorus]
Whoa-oh, oh no, thinkin' about you, makin' my body behave so
Crazy, ooh, you makе me wanna sway slow
You push up on me, baby, you got me for days, oh, you do

[Chorus]
Baby, won't you let me
Keep you up all night, let the morning come closer
You send me so high now, the ceiling can't hold us
Listen to my heart, let the rhythm control ya
I'll be there when you need my love
Just follow the beat of my drum (Drum, drum, drum, drum, drum)
You might also like[Drop]
It goes um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum

[Bridge]
Whoa-oh, oh no, thinkin' about you, makin' my body behave so
Crazy, ooh, you make me wanna sway slow
You push up on me, baby, you got me for days, oh, you do
Just follow the beat of my drum

[Drop]
Pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa
It goes um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum, pum-pa-pum-pum
Um-pa-pum-pa-pum, pum-pa-pum
Just follow the beat of my drum5Embed",happy
5,5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,87,2017-08-25,0.746,0.251,11,-16.169,0,0.782,0.00203,0.106,0.18,139.999,120027,4,"Revenge Lyrics[Intro]
I think I, I think I finally
Found a way to forgive myself
From mistakes I made in my past
I think that's the first step, right?
You agree?

[Verse]
I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, then, oh, would I?
Some kill, some steal, some break your heart
And you thought that I would let it go and let you walk
Well, broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave I'll rot
I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, then, oh, would I?
Some kill, some steal, some break your heart
And you thought that I would let it go and let you walk
Broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave I'll rot
[Chorus]
In my grave, I'll rot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot

[Outro]
In my grave, I'll rot
I'll rot, I'll rot, I'll rot
Is my pain your freedom?
Is all of my pain your freedom?
EnjoyYou might also like349Embed",sad
6,1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,78,2007-07-23,0.762,0.661,1,-6.075,0,0.15,0.0,0.256,0.769,130.009,225373,4,"Beautiful Girls Lyrics[Intro: J.R. Rotem]
J.R., Sean Kingston

[Chorus: Sean Kingston]
You're way too beautiful, girl
That's why it'll never work
You have me suicidal, suicidal
When you say it's over
Damn, all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over
[Verse 1: Sean Kingston]
See, it started at the park, used to chill after dark
Oh, when you took my heart, that's when we fell apart
'Cause we both thought that love last forever (Last forever)
They say we're too young to get ourselves sprung
Oh, we didn't care, we made it very clear
And they also said that we couldn't last together (Last together)

[Pre-Chorus: Sean Kingston]
See, it's very defined, you're one of a kind
But you mash up my mind, you haffi get declined
Oh Lord, my baby is drivin' me crazy

[Chorus: Sean Kingston]
You're way too beautiful, girl
That's why it'll never work
You have me suicidal, suicidal
When you say it's over
Damn, all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over

[Verse 2: Sean Kingston]
It was back in '99, watchin' movies all the time
Oh, when I went away for doin' my first crime
And I never thought that we was gonna see each other (See each other)
And then I came out, Mami moved me down south
Oh, I'm with my girl who I thought was my world
It came out to be that she wasn't the girl for me (Girl for me)
You might also like[Pre-Chorus: Sean Kingston]
See, it's very defined, you're one of a kind
But you mash up my mind, you haffi get declined
Oh Lord, my baby is drivin' me crazy

[Chorus: Sean Kingston]
You're way too beautiful, girl
That's why it'll never work
You have me suicidal, suicidal
When you say it's over
Damn, all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over

[Verse 3: Sean Kingston]
Now we're fussin', and now we're fighting
Please tell me why I'm feelin' slighted
And I don't know how to make it better (Make it better)
You're dating other guys, you're telling me lies
Oh, I can't believe what I'm seein' with my eyes
I'm losin' my mind and I don't think it's clever (Think it's clever)

[Chorus: Sean Kingston]
You're way too beautiful, girl
That's why it'll never work
You have me suicidal, suicidal, suicidal57Embed",happy
7,43ZTfozcXRTukqENA3TXqe,we're not kids anymore,Cat Burns,62,2022-05-20,0.816,0.213,6,-12.952,0,0.912,4.02e-06,0.0916,0.323,121.916,182958,4,"​we’re not kids anymore Lyrics[Verse 1]
Nothing last forever
But we didn't know that, did we?
Never even a question
How were we so silly?

[Pre-Chorus]
Going from movie nights, anything we liked
Now i'm watching them on my own
From evening drives, pre-drinking at mine's
Singing our favorite songs
I haven't seen you in so long
God, where has the time gone?
[Chorus]
Friendships can last a lifetime
But then, sometimes they just don't
Never thought it would be you was meant to be us
Against the world
But now, we're only gettin' older
I wish somebody would've told us
That we're not kids anymore
I wish somebody would've told us
That we're not kids anymore
(Anymore, anymore, anymore
Anymore, anymore)

[Verse 2]
I still look through our pictures
Remembering when things were different
I didn't have to miss you
But now it feel so distant

[Pre-Chorus]
Going from waiting in club lines
Sippin' on cheap wine
Acting like we weren't drunk
You knew what I was thinking always
Always in sync when no one would laugh but us
I haven't seeing you in so long
God, where has the time gone?
You might also like[Chorus]
Friendships can last a lifetime
But then, sometimes they just don't
Never thought it would be you was meant to be us
Against the world
But now, we're only gettin' older
I wish somebody would've told us
That we're not kids anymore
I wish somebody would've told us
That we're not kids anymore
(Anymore, anymore, anymore, anymore, anymore)

[Outro]
Friendships can last a lifetime
But then, sometimes they just don'tEmbed",sad
8,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,77,2022-02-04,0.614,0.644,2,-5.372,0,0.0134,7.07e-06,0.117,0.651,160.036,206772,4,"​she’s all i wanna be Lyrics[Intro]
(Ooh, ooh-ooh, ooh-ooh)
(Ooh, ooh-ooh, ooh-ooh)
(Ooh, ooh-ooh, ooh-ooh)
(Ooh)

[Verse 1]
You want the girl with the small waist
And the perfect smile
Someone who's out every weekday
In her dad's new car
You tell me I shouldn't stress out
Say, ""It's not that hard""
But I just got a feeling
This will leave an ugly scar
[Pre-Chorus]
If you say, ""She's nothing to worry about""
Then why'd you close your eyes when you said it out loud?

[Chorus]
Stupid boy making me so sad
Didn't think you could change this fast
She's got everything that I don't have
How could I ever compete with that?
I know you'll go and change your mind
One day wake up and be bored with mine
She's got everything that I don't havе
And she's all I wanna be, all I wanna be so bad, so bad
Shе's got everything that I don't have, hm-mm

[Verse 2]
You want someone you can show off
Whenever you go out
She'll wear a tight mini black dress
With all her friends around
And then you'll probably spend the night at
Her nice big house
And by then I'll just be someone
You've forgotten about, oh

[Pre-Chorus]
If you say, ""She's nothing to worry about""
Then why'd you close your eyes when you said it out loud?
You might also like[Chorus]
Stupid boy making me so sad
Didn't think you could change this fast
She's got everything that I don't have
How could I ever compete with that?
I know you'll go and change your mind
One day wake up and be bored with mine
She's got everything that I don't have
And she's all I wanna be, all I wanna be so bad, so bad
She's got everything that I don't have
And she's all I wanna be, all I wanna be

[Post-Chorus]
She's all I wanna be so bad, oh-ooh

[Chorus]
Stupid boy making me so sad
Didn't think you would hurt this bad
She's got everything that I don't have
How could I ever compete with that?
I know you'll go and change your mind
One day wake up and be bored with mine
She's got everything that I don't have
And she's all I wanna be, all I wanna be so bad
All I wanna be so bad (So bad)
She's got everything that I don't have (So bad)
And she's all I wanna be, all I wanna be so bad18Embed",angry
9,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,77,2018-10-04,0.752,0.488,6,-7.05,1,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"Without Me Lyrics[Verse 1]
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (Keep you close)
I was afraid to leave you on your own (Ooh)

[Pre-Chorus]
I said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me
[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah, yeah)

[Verse 2]
Gave love 'bout a hundred tries (Hundred tries)
Just runnin' from the demons in your mind
Then I took yours and made 'em mine (Mine)
I didn't notice 'cause my love was blind

[Pre-Chorus]
Said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me
You might also like[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

[Bridge]
You don't have to say just what you did (What you did)
I already know (I know)
I had to go and find out from them (Oh-woah)
So tell me, how's it feel? (Oh-woah)

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)196Embed",relaxed
