index,id,uri,title,artist,duration_ms,explicit,track_number,release_date,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,tempo,raw_lyrics,sentiment
63,6wU29PeLHPXfyksi4OE4b7,spotify:track:6wU29PeLHPXfyksi4OE4b7,Suicide Is Painless,Lady & Bird,175080,False,5,2003-09-29,35,0.562,0.251,2,-11.273,0.0355,0.882,0.0,0.113,0.324,0,105.787,"[00:04.44]Through early morning fog i see
[00:09.46]The visions of the things to be
[00:13.56]The pains that are withheld from me
[00:18.54]I realise and i can see
[00:22.26]
[00:24.66]That Suicide is painless
[00:29.25]It brings on any changes
[00:33.79]But i can take or leave it if i please
[00:42.09]
[00:43.14]The game of life is hard to play
[00:47.98]I'm gonna loose it anyway
[00:51.95]But losing cards are some days late
[00:56.94]So this is all i have to say
[01:03.86]Suicide is painless
[01:07.93]It brings on any changes
[01:12.58]But i can take or leave it if i please
[01:20.71]
[01:21.71]The sword of time will pierce our skin
[01:26.49]It doesn't hurt when it begins
[01:30.68]But as it works its way on in
[01:35.43]The pain grows stronger watch it grin
[01:42.57]Suicide is painless
[01:46.16]It brings on any changes
[01:50.69]But i can take or leave it if i please
[02:00.26]A brave man once requested me
[02:04.40]
[02:04.95]To answer questions that i keep
[02:08.87]""is it to be or not to be""
[02:13.95]And i reply ""oh why ask me ?""
[02:22.18]Suicide is painless
[02:26.01]It brings on any changes
[02:30.67]But i can take or leave it if i please
[02:39.45]And you can do the same thing if you please
[02:47.94]
",relaxed
13,5EAJk4YTRe1LYmhJpE2dg2,spotify:track:5EAJk4YTRe1LYmhJpE2dg2,Even Now,William Fitzsimmons,168640,False,8,2008-09-30,12,0.434,0.0492,0,-17.956,0.0556,0.954,0.0,0.0895,0.483,1,135.31,"[00:18.11]How long should I wait before I let you go?
[00:26.31]How long should I decide?
[00:34.31]Whose side should I take
[00:38.32]When both of us were wrong?
[00:42.41]When we both share the blame
[00:46.16]
[00:48.19]Oh but I love you even still even now
[00:54.57]Even though we fell apart
[00:58.55]Even still even now
[01:02.85]But I hope we’ll meet again
[01:06.39]
[01:23.09]Whose eyes will you look in
[01:27.46]When love is in your heart?
[01:30.93]Whose hand will hold your ring?
[01:39.36]Whose voice will serenade
[01:43.43]To help your baby sleep?
[01:47.62]To make it all okay
[01:51.14]
[01:52.96]Oh but I love you
[01:55.56]Even still even now
[01:59.65]Even though we fell apart
[02:03.49]Even still even now
[02:07.70]And I hope we’ll meet again
[02:11.66]Even still even now
[02:15.84]Even though we fell apart
[02:19.77]Even still even now
[02:24.22]And I hope you’ll be okay
[02:31.84]
",relaxed
37,2VAYHSRr2Uj9lJHp87AnaP,spotify:track:2VAYHSRr2Uj9lJHp87AnaP,Ever Be,Korn,288733,True,8,2007-07-31,33,0.474,0.902,0,-6.087,0.0492,0.000164,0.263,0.231,0.325,1,160.053,"[00:19.34]You're the infection my friend
[00:23.78]Disgusting right to the end
[00:28.47]Didn't I know it then?
[00:33.65]I knew it, I knew it
[00:37.34]You're basic, but hard to define
[00:41.90]Simple yet somehow sublime
[00:46.34]Knew you would strike again
[00:51.59]I knew it, I knew it
[00:54.03]You're all that's wrong
[00:58.03]With your dumbass song
[01:03.25]Yet that's all that you will ever be
[01:11.13]Nothing you can do 'cause
[01:13.01]That's all that you will ever be
[01:23.19]Polished, you shimmer when shined
[01:27.44]But rotten and seething inside
[01:32.13]Everyone falls for this
[01:37.47]I knew it, I knew it
[01:39.66]You're all that's wrong
[01:43.59]With your dumbass song
[01:48.22]Yet that's all that you will ever be
[01:55.90]Nothing you can do 'cause
[01:57.53]That's all that you will
[02:03.14]That's all that you will
[02:08.28]That's all that you will ever be
[02:17.59]
[02:35.72]Ever be, never be, want to be god
[02:40.03]All to be, made to be, holding the son
[02:44.53]Throwing it, breaking it, over your grave
[02:49.09]Sending you back to the place you once came
[02:53.69]It must be hard to be you
[02:57.94]Nothing's alright with you
[03:01.06]You're all that's wrong
[03:05.13]With your dumbass song
[03:09.62]Yet that's all that you will ever be
[03:17.32]Nothing you can do 'cause
[03:18.88]That's all that you will ever be
[03:29.31]
[03:37.69]Ever be/never be/wannabe [Repeat]
[03:51.74]You will never be [Repeat]
[04:07.58]You want to be God [Repeat]
[04:15.13]It's all God [Repeat]
[04:22.32]It's all gone [Repeat]
[04:30.88]我faint了....
",angry
18,4S5MU2rrPqkGYWp98vFVvj,spotify:track:4S5MU2rrPqkGYWp98vFVvj,Dannyboy,Youngblood Hawke,186786,False,4,2013-01-01,26,0.706,0.909,5,-5.157,0.0508,0.00358,5.85e-05,0.311,0.733,1,129.005,"[00:17.34]Too young to be scared
[00:18.71]
[00:19.26]Optimistic, tell the truth she don't care
[00:22.20]
[00:22.83]Locks her lips, she ke-ga-go ke-ga-go
[00:26.01]She got over my head
[00:27.82]So wake up you dreamy boy
[00:30.76]
[00:31.94]You're harnessing a giant
[00:33.56]And you're painting on my wings
[00:35.55]In red paint and my wings are feather white
[00:38.61]
[00:39.29]Police sirens up
[00:40.98]So you're an angel true in a movie down my street
[00:45.43]
[00:46.55]Wake up, Danny boy, there's a world outside
[00:49.92]
[00:50.48]A world outside, a world outside
[00:53.97]Wake up, Danny boy, there's a world outside
[00:57.78]A world outside your window
[01:00.46]
[01:01.47]Wake up
[01:02.15]
[01:10.01]You can't force change or change your path
[01:13.70]You just have to walk on it, the woods at night
[01:17.31]With red walls, leisurely slow, no one sees you moving but you
[01:24.06]
[01:25.31]So long my friends
[01:30.74]
[01:32.86]I think it's time you try again
[01:35.54]
[01:36.85]So wake up, wake up
[01:38.16]
[01:38.85]Wake up, Danny boy, there's a world outside
[01:42.53]A world outside, a world outside
[01:46.02]Wake up, Danny boy, there's a world outside
[01:49.83]A world outside your window
[01:52.45]
[01:53.70]A world outside, a world outside
[01:57.21]Wake up, Danny boy, there's a world outside
[02:00.96]A world outside your window
[02:03.64]
[02:04.51]Your window, your window
[02:07.38]
[02:08.44]Wake up
[02:09.13]
[02:15.81]Wake up
[02:16.43]
[02:30.66]Wake up, Danny boy, there's a world outside
[02:34.52]A world outside, a world outside
[02:38.02]Wake up, Danny boy, there's a world outside
[02:41.89]A world outside your window
[02:44.58]
[02:46.07]A world outside, a world outside
[02:49.43]Wake up, Danny boy, there's a world outside
[02:53.18]A world outside your window
[02:55.92]
[02:56.68]Your window, your window
",happy
99,4MW6iAySicumcMCbScZPCG,spotify:track:4MW6iAySicumcMCbScZPCG,Life Is Wonderful,Jason Mraz,260466,False,1,2005-07-26,40,0.611,0.409,8,-9.286,0.0318,0.156,0.0,0.0496,0.394,0,97.944,"[00:00.73]It takes a crane to build a crane
[00:05.47]It takes two floors to make a story
[00:10.54]It takes an egg to make a hen
[00:12.90]It takes a hen to make an egg
[00:15.40]There is no end to what I'm saying
[00:19.14]
[00:20.28]It takes a thought to make a word
[00:25.04]And it take some words to make an action
[00:29.83]It takes some work to make it work
[00:32.61]It takes some good to make it hurt
[00:34.94]It takes some bad for satisfaction
[00:39.18]
[00:41.90]La la la la la la la life is wonderful
[00:46.71]Ah la la la la la la life goes full circle
[00:51.87]Ah la la la la la la life is wonderful
[00:56.35]Al la la la la
[00:59.67]
[01:09.04]It takes a night to make it dawn
[01:13.94]And it takes a day to make you yawn brother
[01:18.59]It takes some old to make you young
[01:21.32]It takes some cold to know the sun
[01:23.78]It takes the one to have the other
[01:27.80]
[01:28.50]It takes no time to fall in love
[01:33.33]But it takes you years to know what love is
[01:38.08]It takes some fears to make you trust
[01:40.65]It takes some tears to make it rust
[01:43.18]It takes some dust to make it polished
[01:47.13]
[01:50.07]Ah la la la la la la life is wonderful
[01:55.24]Ah la la la la la la life goes full circle
[02:00.07]Ah la la la la la la life is wonderful
[02:04.99]Ah la la la la la it is so....
[02:26.17]
[02:27.07]It takes some silence to make sound
[02:32.03]It takes some loss before you found it
[02:36.78]It takes a road to go nowhere
[02:39.23]It takes a toll to make you care
[02:41.71]It takes a hole to make a mountain
[02:46.89]
[02:48.69]Ah la la la la la la life is wonderful
[02:53.70]Ah la la la la la la life goes full circle
[02:58.86]Ah la la la la la la life is wonderful
[03:03.60]Ah la la la la la la life is meaningful
[03:08.39]Ah la la la la la la life is wonderful
[03:13.20]Ah la la la la la it is so wonderful
[03:26.91]It is so meaningful
[03:31.95]It is so wonderful
[03:36.79]It is meaningful
[03:41.90]It is wonderful
[03:46.64]It is meaningful
[03:51.28]It goes full circle
[03:58.30]
",sad
1,05eiKEr80zHnYNpD4u8ili,spotify:track:05eiKEr80zHnYNpD4u8ili,Like A Song,Lenka,200173,False,10,2008-09-23,26,0.327,0.115,2,-13.907,0.0328,0.978,2.01e-05,0.118,0.0874,0,95.697,"[00:18.25]I can't forget you when you're gone
[00:23.00]Your like a song
[00:24.88]That goes around in my head
[00:31.19]And how I regret
[00:34.34]It's been so long
[00:36.21]Oh what went wrong
[00:38.08]Could it be something I said
[00:44.52]Time, make it go faster
[00:51.16]Or just rewind
[00:53.56]To back when im wrapped in your arms
[00:59.34]Ahoooh
[01:07.68]Dum da di da
[01:10.65]Da da da dum
[01:12.55]Da da da dum
[01:14.29]Da da da dum da da di dum
[01:21.74]Da di dum dum
[01:24.22]Da da da dum
[01:25.75]Da da da dum
[01:27.70]Da da da dum la da da di da dum
[01:34.36]All afternoon long
[01:37.72]It's with me
[01:39.48]The same song
[01:41.55]You left a light on
[01:45.11]Inside me
[01:46.86]My love
[01:48.89]I can Remember
[01:52.24]The way that it felt
[01:55.07]To be holding on to you
[02:02.00]
[02:07.98]Da dum da da di dum
[02:12.57]Ooh dum di dum
[02:22.89]I can't forget you when you're gone
[02:27.83]Your like a song
[02:29.79]That goes around in my head
[02:36.04]And how I regret
[02:39.40]It's been so long
[02:41.12]Oh what went wrong
[02:42.97]Could it be something I said
[02:49.44]Time, make it go faster
[02:56.01]Or just rewind
[02:58.53]To come back to my happy heart.
[03:06.64]
",sad
79,0JTTx9wdM4bC08mavL54bf,spotify:track:0JTTx9wdM4bC08mavL54bf,Love You So,Natalie,215040,False,13,2006-01-01,51,0.782,0.575,7,-5.739,0.034,0.231,0.000965,0.136,0.473,1,103.99,"[00:28.22]From the minute that you got my attention
[00:30.37]I was taken and I have to mention
[00:32.76]I was trying to not let it show
[00:34.79]But I knew I wasn't gonna let you go
[00:37.43]From the way that you came right to me
[00:39.45]Looking all hot with the style that threw me
[00:42.27]No one would've ever known it
[00:44.12]You would be the one who take this heart and hold it
[00:46.70]You got that extraordinary way
[00:51.41]Got to be next to ya every single day
[00:56.02]You do something that I just can't explain
[01:00.35]Wanna take the chance 
[01:02.15]and tell you you're the one for me
[01:05.01]boy I love you so
[01:08.03]Just look in my eyes, 
[01:09.81]they'll tell you where this could go Yeah
[01:12.97]Do you know it
[01:14.27]boy I love you so
[01:17.27]Look in these eyes, 
[01:19.03]they'll tell you where this could go
[01:21.77]I just want you to know
[01:23.69]You can san say anything you want to
[01:25.96]No stress 'cause I understand you
[01:28.06]We got a vibe you can't define
[01:30.12]Want everyone know that boy is mine
[01:32.58]We won't fight and stop 
[01:34.12]and stare at the way you hold me
[01:35.80]You take me there at times
[01:37.46]I feel I lose control
[01:39.32]Forget everyone but the hand I'm holding
[01:42.03]You got that extraordinary way
[01:46.75]Got to be next to ya every single day
[01:51.38]You do something that I just can't explain
[01:55.75]Wanna take the chance 
[01:57.53]and tell you you're the one for me
[02:00.32]boy I love you so
[02:03.36]Just look in my eyes, 
[02:05.17]they'll tell you where this could go Yeah
[02:08.28]Can you feel it
[02:09.56]boy I love you so
[02:12.66]Look in these eyes, 
[02:14.41]they'll tell you where this could go
[02:17.16]I just want you to know
[02:19.95]Please know this
[02:22.25]I'll always be right here
[02:26.35]And you don't have to look
[02:29.12]Nowhere else babe
[02:31.95]Don't think for a minute
[02:34.66]This love will change
[02:35.90]Oh you should know that
[02:37.32]boy I love you so
[02:40.34]Just look in my eyes, 
[02:42.09]they'll tell you where this could go Yeah
[02:45.25]Can you feel it
[02:46.50]boy, I love you so
[02:49.58]Look in these eyes, 
[02:51.39]they'll tell you where this could go
[02:54.15]I just want you to know
[02:55.83]boy I love you so
[02:58.77]Just look in my eyes, 
[03:00.48]they'll tell you where this could go Yeah
[03:03.56]Can you feel it
[03:04.91]boy I love you so
[03:08.07]Look in these eyes, 
[03:09.89]they'll tell you where this could go
[03:12.57]I just want you to know
[03:14.86]
",relaxed
68,1w3KRXDABnSmbVSwJL2c0N,spotify:track:1w3KRXDABnSmbVSwJL2c0N,Light Up the Sky,The Afters,221973,False,3,2018-11-02,47,0.467,0.754,2,-4.658,0.0292,0.0348,0.0,0.0705,0.412,1,142.028,"[00:16.41]When I'm feeling all alone
[00:20.60]With so far to go
[00:23.21]The signs are no where on this road
[00:27.40]Guiding me home
[00:29.92]When the night's closing in
[00:34.09]Is falling on my skin
[00:37.37]Oh God will you come close
[00:40.80]
[00:42.62]Light light light up the sky
[00:45.19]Light up the sky to show me
[00:47.74]You are with me
[00:49.43]I I I can't deny
[00:51.87]No I can't deny that you are
[00:54.41]Right here with me
[00:56.05]You've opened my eyes
[00:59.50]So I can see you all around me
[01:02.88]Light light light up the sky
[01:05.38]You light up the sky to show me
[01:08.89]That you are with me
[01:13.51]
[01:17.21]When stars are hidding in the clouds
[01:21.45]I don't feel them shining
[01:24.01]When I can't see you beyond my doubt
[01:28.21]The silver lining
[01:30.84]When I've almost reached the end
[01:34.77]Like a flood you're rushin' in
[01:38.16]Your love is rushing in
[01:42.82]
[01:43.52]Light light light up the sky
[01:46.01]Light up the sky to show me
[01:48.51]You are with me
[01:50.26]I I I can't deny
[01:52.75]No I can't deny that you are
[01:55.26]Right here with me
[01:56.89]You've opened my eyes
[02:00.19]So I can see you all around me
[02:03.76]Light light light up the sky
[02:06.27]You light up the sky to show me
[02:09.73]That you are with me
[02:14.48]
[02:16.64]So I run straight into your arms
[02:21.86]You're the bright and morning sun
[02:25.49]To show your love there's
[02:27.46]Nothing you won't do (you won't do)
[02:32.85]
[02:34.05]Light light light up the sky
[02:36.36]You light up the sky to show me
[02:39.18]You are with me
[02:40.99]I I I can't deny
[02:43.19]No I can't deny that you are
[02:45.99]Right here with me
[02:47.68]You've opened my eyes
[02:51.00]So I can see you all around me
[02:54.38]Light light light up the sky
[02:56.93]Light up the sky to show me
[03:00.44]That you are with me (ohh~)
[03:07.10]That you are with me (ohh~)
[03:13.98]That you are with me (ohh~)
[03:27.54]
",relaxed
11,6COzRkOa5o0TrsVcSjJHrO,spotify:track:6COzRkOa5o0TrsVcSjJHrO,Choose Love,Ringo Starr,188121,False,8,2005-06-07,9,0.608,0.658,2,-7.099,0.027,3.13e-05,0.0368,0.39,0.776,1,122.017,"[00:17.59]Dark clouds in my head disappear
[00:24.90]The sky is turning blue, now you're here
[00:32.84]We've come a long way, day after day, we still got a long way to go
[00:42.49]You've got to pay your dues, if you want to sing the blues
[00:48.49]But, no matter what you choose, choose love
[00:53.29]
[01:00.55]The Long and Winding Road, is more than a song
[01:08.43]Tomorrow Never Knows, What Goes On
[01:16.18]To live your life right, you've got to let in the light, and let all the darkness go
[01:24.42]You've got to pay your dues, if you want to sing the blues
[01:32.69]But, no matter who you choose, choose love
[01:37.56]
[01:40.93]Love, love, love, love, love
[01:44.69]
[01:59.32]Choose Love!
[02:00.57]
[02:06.82]You've got to pay your dues, if you want to sing the blues
[02:13.82]But, no matter how you choose
[02:18.63]You've got to pay your dues, if you want to sing the blues
[02:26.20]But, no matter what you choose, choose love
[02:37.07]Choose love, choose love, choose love
[02:47.95]Love is the answer
",happy
30,4jacsL77ZYnpInmTtUBaJW,spotify:track:4jacsL77ZYnpInmTtUBaJW,Move Your Feet,Junior Senior,181906,False,3,2003-07-25,60,0.755,0.895,9,-2.619,0.0883,0.0507,0.0737,0.222,0.844,1,118.871,"[00:00.45]Don't stop, don't stop the feet
[00:03.08]Won't stop, won't stop the beat
[00:04.88]and GO
[00:05.69]
[00:07.20]Everybody,
[00:09.35]move you're feet,
[00:10.61]and feel united ohohoh (2x)
[00:15.56]Everybody,
[00:17.87]move you're feet,
[00:18.79]and feel united ohohoh (2x)
[00:23.47]Yeah, got the dance energy, oh yeah (4x)
[00:29.31]Yeah, got the dance energy, oh yeah (4x)
[00:33.11]Yeah, got the dance energy, oh yeah (4x)
[00:36.78]Yeah, got the dance energy, oh yeah (4x)
[00:41.24]d-d-don't stop the beat
[00:43.19]I c-c-can't control the feet
[00:45.34]p-p-people in the streets
[00:47.23]com'on everybody, move you're feet
[00:49.39]Don't stop, (don't stop) don't stop, the beat
[00:51.31]I can't stop, (can't stop) can't stop the beat
[00:53.23]I won't stop, won't stop (won't stop) the beat
[00:55.79]And GO
[00:56.32]Everybody,
[00:59.79]move you're feet,
[01:01.08]and feel united ohohoh (2x)
[01:05.98]Everybody,
[01:08.09]move you're feet,
[01:09.03]and feel united ohohoh (2x)
[01:14.12]Yeah, got the dance energy, oh yeah(3x)
[01:20.08]Yeah, got the dance energy, oh yeah(3x)
[01:24.04]Yeah, got the dance energy, oh yeah(3x)
[01:28.07]Yeah, got the dance energy, oh yeah(3x)
[01:31.97]s-s-sing my song and
[01:33.65]y-y-you sing along, just
[01:36.03]p-p-put my record on
[01:37.76]and all of you're troubles are dead and gone
[01:40.30]Don't stop, (don’t stop) don't stop, the beat
[01:41.81]I can't stop, (can't stop) can't stop the beat
[01:43.83]I won't stop, (won't stop) won't stop the beat
[01:45.72]And GO
[01:48.92]Everybody,
[01:50.43]move you're feet,
[01:51.58]and feel united ohohoh (2x)
[01:56.73]Everybody,
[01:58.75]move you're feet,
[01:59.57]and feel united ohohoh (2x)
[02:04.43]Yeah,
[02:06.91]Oh yeah (3x)
[02:13.73]Oh yeah (3x)
[02:17.21]Oh yeah (3x)
[02:22.31]Don't stop, (don't stop) don't stop, the beat
[02:24.47]I can't stop, (can't stop) can't stop the beat
[02:26.36]I won't stop, (won't stop) won't stop the beat
[02:28.57]‘N’ GO
[02:30.71]Everybody,
[02:32.82]move you're feet,
[02:34.18]and feel united ohohoh
[02:38.86]Everybody,
[02:41.18]move you're feet,
[02:42.46]and feel united ohohoh
[02:47.35]Everybody,
[02:48.99]move you're feet,
[02:50.55]and feel united ohohoh
[02:56.31]Yeah
[03:01.49]
",happy
