index,id,uri,title,artist,duration_ms,explicit,track_number,release_date,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,tempo,raw_lyrics
2,7CE76kr7cuPNFGe5UKXFyd,spotify:track:7CE76kr7cuPNFGe5UKXFyd,Cicadas And Gulls,Feist,196133,False,10,2011-01-01,31,0.529,0.0868,1,-15.205,0.0319,0.924,0.0548,0.103,0.12,1,95.139,"[00:31.56]Cicadas and gulls
[00:37.28]They scrape on the hull
[00:40.58]The land and the sea
[00:46.10]They're distant from me
[00:49.94]
[00:53.23]I'm in the sky, sky, sky
[00:56.38]I'm in the sky
[00:59.63]
[01:06.54]Thoughts are like pearls
[01:10.82]When flags are unfurled
[01:14.74]When we're in the dark
[01:19.82]I'll ride you back the ark
[01:23.67]
[01:25.87]Because you might, might, might
[01:30.80]Because you might
[01:32.89]
[02:11.85]Maps can be posed
[02:16.74]With you on your own
[02:20.64]And distance is braille
[02:25.66]And all that entails
[02:30.04]
[02:32.02]I'm in the sky, sky, sky
[02:35.44]I'm in the sky
[02:39.17]
[02:41.81]I'm in the sky
[02:44.53]
[02:49.95]As deep as a page
[02:55.08]As high as a stage
[02:59.39]As full as a room
[03:04.65]When we're in the spoon
[03:08.21]
"
3,4yhf8baL67t7mabOrHGRHg,spotify:track:4yhf8baL67t7mabOrHGRHg,Cold Water,Damien Rice,299400,False,8,2003-06-03,31,0.297,0.169,0,-16.369,0.0361,0.876,0.152,0.0856,0.0886,1,119.642,"[00:30.48]Cold, cold water surrounds me now
[00:42.54]And all I've got is your hand
[00:59.74]Lord, can you hear me now?
[01:07.40]Lord, can you hear me now?
[01:16.25]Lord, can you hear me now?
[01:25.95]Or am I lost?
[01:30.51]
[01:31.20]Love one's daughter
[01:33.64]Allow me that
[01:42.65]And I can't let go of your hand
[01:58.19]Lord, can you hear me now?
[02:03.31]Lord, can you hear me now?
[02:13.34]Lord, can you hear me now?
[02:25.62]Or am I lost?
[02:54.91]Cold, cold water surrounds me now
[03:07.23]And all I've got is your hand
[03:24.77]Lord, can you hear me now?
[03:34.20]Lord, can you hear me now?
[03:41.06]Lord, can you hear me now?
[03:49.69]Or am I lost?
"
4,3uWhOkYHM43NP43NyLqtBS,spotify:track:3uWhOkYHM43NP43NyLqtBS,Coldest Winter,Matt Cab,228226,False,1,2010-09-01,26,0.569,0.621,3,-8.111,0.0518,0.692,2.03e-05,0.15,0.322,1,155.928,"[00:26.35]guess its that time of year
[00:29.43]when the clouds go away
[00:32.54]and all my blue skies
[00:35.52]are fading today
[00:38.59]now the rains pouring down
[00:41.75]and i'm soaking wet cause baby you left
[00:46.93]and now there's only regret
[00:50.58]
[00:51.10]since you been go gone
[00:54.15]i'm hurting now
[00:57.20]i need to move on
[00:59.58]but i don't know how
[01:03.27]i wish the wind
[01:06.41]would take me away
[01:09.61]back to your love
[01:12.52]to yesterday..
[01:14.92]
[01:15.45]feels like the coldest winter (cause i'm without your love)
[01:21.42]feels like the coldest winter (cause i'm without your love)
[01:27.63]feels like the coldest winter (cause i'm without your love)
[01:33.70]feels like the coldest winter (cause i'm without your love)
[01:39.14]
[01:40.30]the days keep passing by
[01:43.16]but it feels like times frozen
[01:46.44]cause girl you moved on
[01:48.47]but i'm standing here broken
[01:52.70]even when i'm awake
[01:55.60]it seems like i'm dreaming
[01:58.71]cause you dissapeared
[02:01.13]and i still cant believe it..
[02:05.05]
[02:05.37]since you been go gone
[02:07.93]im hurting now
[02:11.01]i need to move on
[02:13.15]but i don't know how
[02:17.13]i wish the wind would
[02:20.41]take me away
[02:23.30]back to your love
[02:26.27]to yesterday..
[02:28.92]
[02:29.38]feels like the coldest winter (cause i'm without your love)
[02:35.23]feels like the coldest winter (cause i'm without your love)
[02:41.41]feels like the coldest winter (cause i'm without your love)
[02:47.57]feels like the coldest winter (cause i'm without your love)
[02:54.00]
[02:54.20]now kiss goodbye
[02:57.00]you've packed your bags
[03:00.17]and suddenly walked of my life
[03:06.37]good girl where'd you go
[03:09.28]in such in a rush
[03:12.53]why couldn't you stay..
[03:15.70]just for awhile
[03:18.56]
[03:18.74]feels like the coldest winter (cause i'm without your love)
[03:24.48]feels like the coldest winter (cause i'm without your love)
[03:30.55]feels like the coldest winter (cause i'm without your love)
[03:36.68]feels like the coldest winter (here without your love)
[03:42.45]
"
5,2KhS0LVOw9ralhfbcIi7vL,spotify:track:2KhS0LVOw9ralhfbcIi7vL,Comes And Goes (In Waves),Greg Laswell,253546,False,4,2008-01-01,54,0.565,0.698,0,-8.596,0.0295,0.54,0.0183,0.124,0.155,1,120.013,"[00:15.35]This one's for the lonely
[00:19.11]The ones that seek and find
[00:20.98]Only to be let down
[00:22.92]Time after time
[00:25.06]This one's for the torn down
[00:26.88]The experts at the fall
[00:28.82]Common friends get up now
[00:30.78]You're not alone at all
[00:34.00]
[00:47.04]And this part was for her
[00:50.42]This part was for her
[00:52.50]This part was for her
[00:54.53]Does she remember?
[00:57.50]It comes and goes in waves, i....
[01:03.84]
[01:04.79]This one's for the faithless
[01:06.84]The ones that are surprised
[01:08.68]They are only where they are now
[01:10.76]Regardless of their fight
[01:12.88]This one's for believing
[01:14.85]If only for it's sake
[01:16.76]Common friends get up now
[01:18.67]Love is to be made
[01:20.86]
[01:35.70]And this part was for her
[01:38.39]This part was for her
[01:40.28]This part was for her
[01:42.25]Does she remember?
[01:45.77]It comes and goes in waves,
[01:52.27]I am only let to wonder why
[01:59.81]It comes and goes in waves
[02:08.20]I am only let to wonder why
[02:15.43]Why I try
[02:22.66]
[02:35.59]This is for the ones who stand
[02:40.61]For the ones who try again
[02:44.30]For the ones who need a hand
[02:48.03]For the ones who think they can
[02:52.13]It comes and goes in waves,
[03:00.09]I am only let to wonder why
[03:07.93]It comes and goes in waves
[03:16.11]I am only let to wonder why
[03:24.12]Why I try
[03:30.77]
"
6,35H6omlIbcjXj4yhtwg17P,spotify:track:35H6omlIbcjXj4yhtwg17P,Communication,The Cardigans,268540,False,1,2003-01-01,45,0.496,0.377,2,-8.988,0.0274,0.238,0.000114,0.11,0.115,1,126.172,"[00:13.79]For 27 years I've been trying to believe
[00:19.24]and confide in different people I've found.
[00:26.33]
[00:29.07]Some of them got closer than others
[00:33.27]Some wouldn't even bother
[00:37.10]and then you came around
[00:40.92]
[00:44.28]I didn't really know what to call you,
[00:48.51]you didn't know me at all
[00:52.28]But I was happy to explain.
[00:55.76]
[00:59.45]I never really knew how to move you
[01:03.92]So I tried to intrude through
[01:07.58]the little holes in your vanes
[01:11.12]And I saw you
[01:15.66]But that's not an invitation
[01:20.07]That's all I get
[01:23.07]If this is communication
[01:27.54]I disconnect
[01:30.54]I've seen you, I know you
[01:32.50]But I don't know
[01:35.06]How to connect, so I disconnect
[01:42.33]
[01:48.63]You always seem to know where to find me
[01:53.17]and I'm still here behind you
[01:56.94]In the corner of your eye.
[02:01.69]
[02:03.76]I'll never really learn how to love you
[02:08.22]But I know that I love you
[02:11.99]through the hole in the sky.
[02:15.44]Where I see you
[02:19.84]And that's not an invitation
[02:24.31]That's all I get
[02:27.23]If this is communication
[02:31.55]I disconnect
[02:34.72]I've seen you, I know you
[02:36.63]But I don't know
[02:39.20]How to connect, so I disconnect
[02:46.39]
[03:16.15]Well this is an invitation
[03:20.49]It's not a thread
[03:23.64]If you want communication
[03:27.95]That's what you get
[03:30.73]I'm talking and talking
[03:33.08]But I don't know
[03:35.75]How to connect
[03:38.83]And I hold a record for being patient
[03:47.83]With your kind of hesitation
[03:52.95]
[03:55.28]I need you, you want me
[03:57.43]But I don't know
[04:00.02]How to connect, so I disconnect
[04:08.25]I disconnect
[04:12.33]
"
7,02mYS2yrqvRj5Yx8kexNWN,spotify:track:02mYS2yrqvRj5Yx8kexNWN,Cry for Help - Single Edit,Rick Astley,245640,False,10,2019-10-25,54,0.564,0.627,0,-6.933,0.022,0.526,0.0,0.0891,0.462,1,89.976,"[00:22.64]She's taken my time
[00:25.37]convinced me she's fine
[00:28.34]but when she leaves I'm not so sure.
[00:33.39]It's always the same: she's playing her game
[00:39.09]and when she goes I feel to blame.
[00:44.30]Why won't she say she needs me?
[00:49.64]I know she's not as strong as it seems.
[00:55.02]Why don't I feel a cry for help?
[01:00.34]Why don't I hear a cry for help?
[01:15.21]
[01:24.05]I wandered around the streets of this town
[01:29.65]trying to find sense in it all.
[01:34.76]The rain on my face it covers the trace
[01:40.33]of all the tears I've had to waste.
[01:45.71]Why must we hide emotions
[01:51.03]why must we never break down and cry?
[01:56.45]
[01:56.64]All that I need is to cry for help.
[02:01.61]Somebody please hear me cry for help.
[02:07.07]All I can do is cry for help.
[02:26.69]No need to feel ashamed
[02:53.28]
[02:57.87]Why must we hide emotions?
[03:03.10]Why can we never break down and cry?
[03:08.68]
[03:08.92]All that I need is cry for help.
[03:13.81]I will be there when you cry for help.
[03:19.15]Why don't I hear a cry for help?
[03:27.68]All that I need is cry for help.
[03:32.43]Somebody please hear me cry for help.
[03:45.84]All that I need is cry for help.
[03:51.13]I will be there when you cry for help.
[03:56.47]Is it so hard to cry for help?
[04:04.03]
"
8,6YQ2RgaJVn2aeFFsNHB4Yb,spotify:track:6YQ2RgaJVn2aeFFsNHB4Yb,Cry On My Shoulder,Bonnie Raitt,224200,False,4,1989,30,0.657,0.272,0,-15.36,0.026,0.435,3.64e-05,0.222,0.332,1,110.785,"[00:24.00]I know it's hard sometimes
[00:28.54]And things seem
[00:29.84]larger than they are
[00:32.58]But if you need to tell someone
[00:36.82]That's what I'm here for.
[00:40.99]Cry on my shoulder
[00:44.99]I'll help you rise above
[00:49.94]Cry on my shoulder, my love
[00:56.79]
[01:11.91]And in the world outside
[01:15.90]It can be harsh and cold
[01:20.13]But if you need someone
[01:24.48]I will be here to hold you
[01:28.87]Cry on my shoulder
[01:32.68]I'll help you dry your eyes
[01:37.91]Cry on my shoulder
[01:41.16]My love
[01:44.84]My love
[01:50.36]
[02:12.50]I know it's hard sometimes
[02:16.62]and theings seem
[02:18.62]larger than they are
[02:20.83]But if you need to let it go
[02:25.06]Then you can call on me
[02:29.26]Cry on my shoulder
[02:33.23]I'll help you dry your eyes
[02:37.68]Cry on my shoulder
[02:41.73]My love
[02:46.37]Cry on my shoulder
[02:50.64]I'll help you rise above
[02:54.97]Cry on my shoulder
[02:58.91]My love
[03:02.20]
[03:08.28]My love
[03:12.88]
"
9,1NmjzfxyAN9u5EaqHk1uIY,spotify:track:1NmjzfxyAN9u5EaqHk1uIY,Dear Diary,Britney Spears,166653,False,12,2000-05-16,35,0.509,0.157,3,-14.285,0.0333,0.814,0.0,0.166,0.288,1,127.66,"[00:15.09]Dear diary
[00:18.96]Today I saw a boy
[00:22.31]And I wondered if he noticed me
[00:26.41]He took my breath away
[00:29.54]
[00:29.89]Dear diary
[00:33.54]I can't get him off my mind
[00:37.26]And it scares me
[00:39.20]Cause I've never felt this way
[00:42.58]
[00:45.13]No one in this world
[00:48.51]Knows me better than you do
[00:52.65]So diary I'll confide in you
[00:58.65]
[00:59.83]Dear diary
[01:03.86]Today I saw a boy
[01:07.56]As he walked by I thought he smiled at me
[01:14.21]
[01:14.70]And I wondered
[01:18.43]Does he know what's in my heart
[01:22.60]I tried to smile, but I could hardly breathe
[01:28.53]
[01:29.78]Should I tell him how I feel
[01:33.51]Or would that scare him away
[01:37.30]Diary, tell me what to do
[01:41.29]Please tell me what to say
[01:45.62]
[01:46.95]Dear diary
[01:50.75]One touch of his hand
[01:54.47]Now I can't wait to see that boy again
[02:00.98]
[02:01.82]He smiled
[02:05.43]And I thought my heart could fly
[02:09.08]Diary, do you think that we'll be more than friends?
[02:14.85]Eee……
[02:20.39]I've got a feeling we'll be so much more than friends
[02:31.47]
"
10,0ngtyvPUKR4YTtkVKvZP02,spotify:track:0ngtyvPUKR4YTtkVKvZP02,Dream,Priscilla Ahn,211240,False,1,2008-01-01,53,0.512,0.248,2,-10.359,0.0275,0.75,2.96e-05,0.114,0.158,1,109.692,"[00:06.94]I was a little girl alone
[00:11.03]in my little world
[00:13.12]who dreamed of a little home for me.
[00:17.77]
[00:19.63]I played pretend between the trees,
[00:23.06]and fed my houseguests bark and leaves,
[00:26.37]and laughed in my pretty bed of green.
[00:31.94]I had a dream
[00:35.20]That I could fly from the highest swing.
[00:42.18]I had a dream.
[00:44.13]
[00:52.71]Long walks in the dark
[00:55.85]through woods grown behind the park,
[00:58.98]I asked God who I'm supposed to be.
[01:05.54]The stars smiled down on me,
[01:08.85]God answered in silent reverie.
[01:12.18]I said a prayer and fell asleep.
[01:17.92]I had a dream
[01:21.12]That I could fly from the highest tree.
[01:27.82]I had a dream.
[01:29.98]
[01:38.86]oh~
[02:29.59]
[02:30.80]Now I'm old and feeling grey.
[02:33.74]I don't know what's left to say
[02:37.00]about this life
[02:38.88]I'm willing to leave.
[02:43.10]I lived it full and I lived it well,
[02:47.17]there's many tales I've lived to tell.
[02:50.80]I'm ready now, I'm ready now,
[02:56.79]I'm ready now to fly from the highest wing.
[03:09.45]I had a dream.
[03:14.35]
"
11,4nwVStZMmFXQKxMZkA6id6,spotify:track:4nwVStZMmFXQKxMZkA6id6,Dreaming My Dreams with You,Alison Krauss,268493,False,11,1999-01-01,25,0.523,0.141,6,-14.43,0.0276,0.818,0.0014,0.092,0.268,1,91.377,"[00:04.83]Dreaming my dreams with you--Alison Krauss
[00:08.18]I hope that I won't be that wrong anymore
[00:15.97]I hope that I've learned this time
[00:23.63]I hope that I find what I'm reaching for
[00:31.45]The way that it is in my mind
[00:39.54]Someday I'll get over you
[00:47.22]I'll live to see it all through
[00:55.29]But I'll always miss
[00:59.76]Dreaming my dreams with you
[01:11.25]I won't let it change me
[01:15.34]Not if I can
[01:19.02]I'd rather believe in love
[01:27.03]And give it away
[01:30.98]As much as I can
[01:34.81]To those that I'm fondest of
[01:42.86]Someday I'll get over you
[01:50.84]I'll live to see it all through
[01:58.61]But I'll always miss
[02:03.04]Dreaming my dreams with you
[02:42.79]Someday I'll get over you
[02:50.42]I'll live to see it all through
[02:58.66]But I'll always miss
[03:02.54]Dreaming my dreams with you
[03:10.62]
[03:14.76]〝上帝赋予她对乡村音乐的天赋，她则努力
[03:21.67]地创新、不愿流於形式化！〞--Country
[03:26.44]Music杂志
[03:29.02]""有许多可以赞美的地方，包括她那如丝绸
[03:32.63]般令人舒服的歌声，和可以演唱多种风格的
[03:38.52]唱腔。""--People杂志
"
