index,id,uri,title,artist,duration_ms,explicit,track_number,release_date,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,tempo,raw_lyrics
1,08YEGpKt2LHJ0URCXKHEie,spotify:track:08YEGpKt2LHJ0URCXKHEie,9 Crimes,Damien Rice,219226,False,1,2006-11-07,56,0.329,0.167,0,-13.103,0.0296,0.913,9.56e-05,0.0921,0.0995,1,74.174,"[00:27.13]Leave me out with the waste
[00:30.37]This is not what i do
[00:33.63]It's the wrong kind of place
[00:36.94]To be thinking of you
[00:40.10]It's the wrong time
[00:44.79]For somebody new
[00:47.49]It's a small crime
[00:49.95]And i've got no exuse
[00:54.60]Is that alright?
[00:56.21]Give my gun away when it's loaded
[01:02.73]Is that alright?
[01:04.26]If u dont shoot it how am i supposed to hold it
[01:09.29]Is that alright?
[01:12.54]Give my gun away when it's loaded
[01:16.30]Is that alrightwith u?
[01:18.61]
[01:21.28]Leave me out with the waste
[01:24.14]This is not what i do
[01:27.78]It's the wrong kind of place
[01:31.09]To be cheating on you
[01:34.57]It's the wrong time
[01:38.59]but she's pulling me through
[01:41.45]It's a small crime
[01:45.07]And I've got no exuse
[01:48.22]Is that alright?
[01:53.22]Give my gun away when it's loaded
[01:56.39]Is that alright?
[01:59.51]If u dont shoot it how am i supposed to hold it
[02:02.76]Is that alright?
[02:06.06]Give my gun away when it's loaded
[02:09.22]Is that alright
[02:10.88]Is that alright with u?
[02:14.29]Is that alright?
[02:19.26]Give my gun away when it's loaded
[02:22.24]Is that alright?
[02:24.32]If u dont shoot it how am i supposed to hold
[02:28.26]Is that alright?
[02:31.56]Give my gun away when it's loaded
[02:34.73]Is that alright
[02:36.25]Is that alright with u?
[02:39.47]Is that alright with u?
[02:45.81]Is that alright with u?
[02:51.94]Is that alright with u?
[02:58.22]Is that alright
[02:59.74]Is that alright
[03:01.30]Is that alright with u?
[03:05.03]no
[03:07.91]
"
2,0VGuRxuaWea2HqXPX769sI,spotify:track:0VGuRxuaWea2HqXPX769sI,A Different Kind of Pain,Cold,319000,False,4,2005-08-29,43,0.393,0.775,6,-5.485,0.0382,0.0245,0.0,0.082,0.162,1,143.928,"[01:07.09]Before I let you go
[01:10.36]Give me just one more night to show you
[01:16.66]Just how I feel
[01:20.51]I lost all my control
[01:23.36]If it takes my whole damned life
[01:26.46]I'll make this up to you
[01:31.75]
[01:33.23]I'm kind of like the waves that roll their whole life
[01:38.85]Towards somewhere crashing it on the shore
[01:46.41]That's blown in by the wind that carries the clouds
[01:52.33]To hide my wish on a fallen star
[01:59.07]
[02:00.13]A different kind of pain,
[02:03.50]is someone there to hold you
[02:07.10]Is someone there to take you away from me
[02:13.76]A different kind of pain,
[02:17.19]is someone there to hold you
[02:20.08]Is someone there to take you away from me
[02:26.67]
[02:27.21]I tried to let you go
[02:30.15]I wish I could turn back time and show
[02:35.59]You just how I feel
[02:40.08]I needed you to know
[02:43.47]If it takes my whole damned life
[02:47.30]I'll make this up to you
[02:54.12]I'm kind of like the waves that roll their whole life
[02:59.48]Towards somewhere crashing it on the shore
[03:07.28]That's blown in by the wind that carries the clouds
[03:13.13]To hide my wish on a fallen star
[03:20.77]
[03:21.31]A different kind of pain,
[03:24.06]is someone there to hold you
[03:27.45]Is someone there to take you away from me
[03:33.38]A different kind of pain,
[03:36.67]is someone there to hold you
[03:40.23]Is someone there to take you away from me
[03:46.20]
[03:48.32]Before you let me go,
[03:55.32]Before you let me go,
[04:02.08]Before you let me go,
[04:08.76]Before you let me go,
[04:11.52]I needed you to know
[04:13.90]A different kind of pain
[04:17.29]is someone there to hold you
[04:20.58]Is someone there to take you away from me
[04:27.29]A different kind of pain
[04:30.88]is someone there to hold you
[04:34.19]Is someone there to take you away from me
[04:41.14]A different kind of pain(It's a different kind of pain)
[04:43.69]A different kind of pain(It's a different kind of pain)
[04:47.33]It's a different kind of pain(It's a different kind of pain)
[04:53.88]It's a different kind of pain(It's a different kind of pain)
[04:54.24]It's a different kind of pain(Before you let me go)
[04:57.61]It's a different kind of pain(I needed you to know)
[05:01.40]It's a different kind of pain
[05:02.81]It's a different kind of
"
3,5DMALvd1DmmWc3iVRSXlno,spotify:track:5DMALvd1DmmWc3iVRSXlno,Pulled Under at 2000 Metres a Second - Remastered,Anathema,322786,False,6,2003,32,0.243,0.87,8,-7.762,0.129,0.000123,0.771,0.0807,0.0875,1,81.696,"[00:32.14]Its been a long cold winter without you
[00:45.72]i've been crying on the inside over you
[00:57.74]just slipped through my fingers as life turned away
[01:12.20]its been a long cold winter since that day
[01:25.38]
[01:54.85]Its hard to find
[01:58.22]hard to find
[02:00.18]hard to find the strength now but i try
[02:07.99]and I don't want to
[02:10.82]don't want to
[02:12.60]don't want to go on and speak now
[02:16.43]of what's gone by
[02:19.40]
[02:20.36]Cos no matter what i say
[02:23.77]no matter what i do
[02:25.57]i cant change what happened
[02:28.55]No matter what i say
[02:30.43]no matter what i do
[02:32.03]i cant change what happened
[02:35.94]Cos no matter what i say
[02:36.83]no matter what i do
[02:38.32]i cant change what happened
[02:40.54]No matter what i say
[02:47.62]You just slipped through my fingers
[02:53.70]and i feel so ashamed
[03:00.12]You just slipped through my fingers
[03:06.60]and i have paid
[03:12.27]
[04:08.85]Cos no matter what i say
[04:10.26]no matter what i do
[04:12.31]i cant change what happened
[04:15.52]No matter what i say
[04:17.20]no matter what i do
[04:18.73]i cant change what happened
[04:21.14]no no I can't change
[04:22.13]Cos no matter what i say
[04:23.01]no matter what i do
[04:25.25]i cant change what happened
[04:27.40]No matter what i say
[04:28.59]no no I can't change
[04:33.88]Just slipped through my fingers
[04:40.32]and i feel so ashamed
[04:47.61]You just slipped through my fingers
[04:53.54]and i have paid.
[05:01.62]
"
4,2CoOb7f00S9B7y4IyB2bT6,spotify:track:2CoOb7f00S9B7y4IyB2bT6,A Place Nearby,Lene Marlin,250266,False,10,1999-05-31,33,0.821,0.221,0,-13.116,0.0366,0.389,0.000953,0.0859,0.147,1,112.925,"[00:18.01]I entered the room
[00:20.23]Sat by your bed all through the night
[00:24.27]I watched your daily fight
[00:29.73]I hardly knew
[00:35.12]The pain was almost more than I could bear
[00:42.30]And still I hear
[00:47.10]Your last words to me
[00:51.36]
[00:52.17]Heaven is a place nearby
[00:56.57]So I wont be so far away
[01:00.83]And if you try and look for me
[01:04.86]Maybe you will find me someday
[01:09.09]Heaven is a place nearby
[01:13.53]So there is no need to say goodbye
[01:18.00]I wanna ask you not to cry
[01:22.12]I will always be by your side
[01:27.67]
[01:28.10]You just faded away
[01:30.43]You spread your wings you had flown
[01:36.48]Away to something unknown
[01:39.06]Wish I could bring you back
[01:45.05]You are always on my mind
[01:47.76]About to tear myself apart.
[01:52.14]You have your special place in my heart
[01:56.99]
[01:58.46]Always heaven is a place nearby
[02:06.77]So I wont be so far away
[02:11.11]And if you try and look for me
[02:14.79]Maybe you will find me someday
[02:19.12]Heaven is a place nearby
[02:23.46]So there is no need to say goodbye
[02:27.90]I wanna ask you not to cry
[02:32.45]I’ll always be by your side
[02:36.48]
[02:55.41]And even when I go to sleep
[02:59.15]I still can hear your voice
[03:02.84]And those words
[03:05.77]I never will forget
[03:11.96]
[03:12.43]Heaven is a place nearby
[03:16.83]So I wont be so far away
[03:21.06]And if you try and look for me
[03:25.06]Maybe you will find me someday
[03:29.30]Heaven is a place nearby
[03:33.75]So there is no need to say goodbye
[03:38.15]I wanna ask you not to cry
[03:42.57]I will always be by your side
[03:47.93]
"
5,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,237493,False,3,2002-04-30,76,0.56,0.825,11,-3.862,0.0379,0.323,0.0,0.161,0.268,1,94.931,"[00:10.88]Making my way down town
[00:12.48]Walking fast
[00:13.69]Faces pass
[00:14.94]And I'm home bound
[00:16.14]
[00:20.66]Staring blankly ahead
[00:22.34]Just making my way
[00:23.67]Making a way
[00:25.03]Through the crowd
[00:28.14]
[00:32.41]And I need you
[00:34.86]And I miss you
[00:37.40]And now I wonder
[00:40.40]If I could fall
[00:43.08]Into the sky
[00:45.66]Do you think time
[00:47.88]Would pass me by
[00:50.68]Cause you know I'd walk a thousand miles
[00:55.17]If I could just see you... tonight
[01:01.51]
[01:06.17]It's always times like these
[01:07.75]When I think of you
[01:09.01]And I wonder if you ever think of me
[01:13.11]
[01:16.01]Cause everything's so wrong
[01:17.63]And I don't belong
[01:19.01]Living in your precious memory
[01:23.19]
[01:27.65]Cause I need you
[01:30.21]And I miss you
[01:32.73]And now I wonder
[01:36.02]If I could fall
[01:38.33]Into the sky
[01:41.10]Do you think time
[01:43.46]Would pass me by,oh
[01:46.04]Cause you know I'd walk a thousand miles
[01:50.56]If I could just see you... tonight
[01:56.54]
[02:06.37]And I, I don't wanna let you know
[02:11.42]I, I drown in your memory
[02:16.43]I,I don't wanna let this go
[02:21.51]I, I've fallen...
[02:26.58]Making my way down town
[02:28.24]Walking fast
[02:29.47]Faces pass
[02:30.46]And I'm home bound
[02:32.00]
[02:36.44]Staring blankly ahead
[02:38.19]Just making my way
[02:39.57]Making a way
[02:40.83]Through the crowd
[02:44.06]
[02:47.97]And I still need you
[02:50.49]And I still miss you
[02:53.23]And now I wonder
[02:57.85]If I could fall into the sky
[03:02.68]Do you think time, would pass us by
[03:07.64]Cause you kow I'd walk a thousand miles
[03:12.09]If I could just see you...
[03:18.30]If I could fall into the sky
[03:22.85]Do you think time would pass me by
[03:27.79]Cause you know I'd walk a thousand miles
[03:32.44]If I could just see you...
[03:37.22]If I could just hold you...
[03:43.11]Tonight
[03:47.55]
"
6,4sBXNclXxCTPBIMZb7Qtf3,spotify:track:4sBXNclXxCTPBIMZb7Qtf3,Again and Again,Jewel,236173,False,1,2006-05-02,26,0.516,0.792,0,-3.795,0.0304,0.182,3.33e-06,0.105,0.288,1,132.938,"[00:09.34]Listen dear
[00:10.46]I need you to hear.
[00:11.88]I cannot disappear
[00:13.59]I've tried again and again and again.
[00:15.88]
[00:16.37]I know we said
[00:17.31]That we'd give up
[00:19.12]You said we'd had enough
[00:20.81]Again and again and again.
[00:22.61]
[00:23.39]But you, you're always on my mind.
[00:28.34]It's like this all the time.
[00:31.68]Say it's cause you're mine
[00:34.87]All mine...
[00:36.29]
[00:38.76]And if you will, I will
[00:42.66]Try to let it go.
[00:45.71]And if you try, I'll try
[00:49.60]Try to let it show us the way
[00:53.45]'Cause love is here to stay
[00:54.75]Just look me in the eye
[00:57.02]This is do or die
[00:58.51]And I will stay in love
[01:00.03]'Till you say enough
[01:01.86]There is no giving in
[01:03.85]There is no giving up in love.
[01:07.54]
[01:13.85]Walk down the street
[01:15.27]Stare at lots of things
[01:17.56]The fast and steady streams
[01:18.70]Again and again and again.
[01:20.49]
[01:20.97]Do what I should
[01:22.06]Try to stay busy
[01:23.73]Your face is all I see
[01:25.68]Again and again and again.
[01:27.52]
[01:28.21]But you, you're always on my mind.
[01:32.64]It's like this all the time.
[01:36.28]Say it's cause you're mine
[01:39.62]All mine...
[01:41.73]
[01:42.76]And if you will, I will
[01:47.34]Try to let it go.
[01:50.58]And if you try, I'll try
[01:54.36]Try to let it show us the way
[01:57.98]'Cause love is here to stay
[01:59.71]Just look me in the eye
[02:01.96]This is do or die
[02:03.38]And I will stay in love
[02:05.08]'Till you say enough
[02:06.95]There is no giving in
[02:09.03]There is no giving up in love.
[02:12.03]
[02:18.02]Like a movie I once saw
[02:21.46]In the darkness I recall
[02:24.53]Feeling the beauty and the pain
[02:29.21]And when you call my name
[02:32.82]Say you feel the same.
[02:36.21]
[02:39.71]Cause' if you will, I will
[02:43.26]Try to let it go
[02:46.62]And if you try, I'll try
[02:50.69]Try to let it show.
[02:53.78]
[02:54.50]And if you will, I will
[02:57.76]Try to let it go
[03:00.87]And if you try, I'll try
[03:04.99]Try to let it show us the way
[03:08.26]'Cause love is here to stay
[03:10.16]Just look me in the eye
[03:12.17]This is do or die
[03:13.78]And I will stay in love
[03:15.32]'Til you say enough
[03:17.62]There is no giving in
[03:19.35]There is no giving up in love
[03:21.01]In love, in love
[03:35.36]We're in love
[03:37.74]
[03:42.04]I cannot disappear...
[03:44.78]I've tried again and again and again...
[03:48.00]
"
7,539jh98saoApaX0XpsaRq5,spotify:track:539jh98saoApaX0XpsaRq5,All I Ever Wanted,The Airborne Toxic Event,257680,False,10,2011-01-01,43,0.354,0.836,0,-3.888,0.0497,0.00382,0.0229,0.19,0.235,1,165.02,"[00:17.40]I can only say these things to you while you're sleeping
[00:23.39]I hear the hum from the wires and the sounds of the morning creep in
[00:29.43]I lie awake and pretend you can hear me
[00:34.19]
[00:47.00]And you tell me that you're scared that you're turning into your mother
[00:52.76]And I feel myself turn into my father
[00:58.24]We could lie to each other like they do and say we're so happy
[01:04.41]It's easy when you're young and you still want it so badly
[01:09.65]
[01:09.88]And I feel my heart pounding
[01:15.79]And I think that I might scream
[01:21.43]
[01:21.77]I can tell you that you're all I ever wanted, dear
[01:24.50]And I can utter every word you've ever hope to hear
[01:27.52]But I shudder when I think that I might not be here forever, forever, forever
[01:33.14]
[01:45.18]That night you whispered like a ghost and you looked so shaken
[01:50.30]You were so quiet and small and you tell me you wanted to be taken
[01:56.20]I just never think of you as the kind of girl who would say that
[02:02.59]And you suddenly seem like some faceless thing in my grasp
[02:08.14]Your eyes so wide, your face so low
[02:14.05]It's the face of someone I don't know
[02:19.94]I can tell you that you're all I ever wanted, dear
[02:23.00]And I can utter every word you'd ever hope to hear
[02:25.92]Shudder when I think that I might not be here forever, forever, forever
[02:31.98]
[03:12.63]And all I could think is that it must be a kind of rebellion
[03:18.11]To arm our fears like soldiers and slay them.
[03:23.89]I can tell you that you're all I've ever wanted, dear
[03:26.59]Through the dim while you're breathing, while you're sleeping in here
[03:29.77]Waken and you ask me if I'm going to be here forever, forever, forever
[03:35.83]Your face so twisted and your eyes are light
[03:38.25]I want to tell I can save you when you cry at night
[03:41.13]But I'd be lying
[03:47.34]Love is defying
[03:53.18]
"
8,7dQC53NiYOY9gKg3Qsu2Bs,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Air Supply,243000,False,2,1980-02-25,68,0.513,0.262,0,-16.875,0.0276,0.313,5.51e-06,0.456,0.357,1,108.383,"[00:23.08]I'm lying alone with my head on the phone
[00:27.59]Thinking of you till it hurts
[00:31.89]I know you hurt too but what else can we do
[00:36.33]Tormented and torn part
[00:40.81]I wish I could carry your smile in my heart
[00:45.36]For times when my life seems so low
[00:49.53]It would make me believe what tomorrow could bring
[00:53.78]When today doesn't really know
[00:57.84]Doesn't really know
[01:00.61]I'm all out of love
[01:02.79]I'm so lost without you
[01:05.08]I know you were right
[01:07.03]Believing for so long
[01:09.53]I'm all out of love
[01:11.72]What am I without you
[01:13.95]I can't be too late
[01:15.85]To say that I was so wrong
[01:22.74]I want you to come back and carry me home
[01:27.27]Away from these long lonely nights
[01:31.50]I'm reaching for you
[01:33.45]Are you feeling it too
[01:35.50]Does the feeling seem oh so right
[01:40.29]And what would you say
[01:42.15]If I called on you now
[01:44.49]And said that I can't hold on
[01:48.96]There's no easy way it gets harder each day
[01:53.14]Please love me or I'll be gone
[01:57.28]I'll be gone
[02:00.11]I'm all out of love
[02:02.17]I'm so lost without you
[02:04.36]I know you were right
[02:06.27]Believing for so long
[02:08.68]I'm all out of love
[02:10.88]What am I without you
[02:13.08]I can't be too late
[02:14.94]To say that I was so wrong
[02:24.62]Ah what are you thinking of
[02:28.61]What are you thinking of
[02:33.09]What are you thinking of
[02:37.35]What are you thinking o.................f
[02:48.20]
[02:48.87]I'm all out of love
[02:51.14]I'm so lost without you
[02:53.38]I know you were right
[02:55.39]Believing for so long
[02:57.82]I'm all out of love
[03:00.10]What am I without you
[03:02.39]I can't be too late
[03:04.36]I know I was so wrong
[03:06.83]I'm all out of love
[03:09.01]I'm so lost without you
[03:11.17]I know you were right
[03:13.34]Believing for so long
[03:15.70]I'm all out of love
[03:17.81]What am I without you
[03:20.13]I can't be too late
[03:22.10]I know I was so wrong
[03:24.57]I'm all out of love
[03:26.73]I'm so lost without you
[03:28.90]I know you were right
[03:30.81]Believing for so long
[03:33.24]I'm all out of love
[03:35.43]What am I without you
[03:37.65]I can't be too late
[03:39.73]To say that I was so wrong
[03:42.92]I'm all out of love
[03:44.54]o....................
"
9,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,613026,True,30,2021-11-12,83,0.631,0.518,0,-8.771,0.0303,0.274,0.0,0.088,0.205,1,93.023,"[00:20.25]I walked through the door with you
[00:23.86]It was cold, but something 'bout it felt like home somehow and I
[00:31.64]Left my scarf there at your sister's house
[00:35.27]And you still got it in your drawer even now
[00:40.66]
[00:51.23]Oh your sweet disposition
[00:53.92]At my wide eye gaze
[00:56.97]We're singing in a car getting lost upstate
[01:02.19]Autumn leaves falling down like pieces in the place
[01:06.49]And I can picture it after all these days
[01:12.23]And I know it's long gone, and magics not here no more
[01:17.31]And I might be okay, but i'm not, found it all
[01:27.03]
[01:27.97]Cause here we are again on that little time street
[01:33.02]You almost ring the red cause you were looking over me
[01:37.44]Wind in my air I was there I remember it all too well
[01:46.48]
[01:48.06]Photo album on my counter
[01:50.78]Your cheeks were turning red
[01:53.14]You used to be a little kid with your glasses in a twin size bed
[01:58.37]And your mother's telling stories 'bout you on a tivo team
[02:03.60]You tell me about your past thinking your future was me
[02:08.64]
[02:09.11]And I know it's long gone, and there was nothing else I could do
[02:13.87]And I forget about you long enough to forget why I needed you
[02:23.78]
[02:24.75]Cause here we are again in the middle of the night
[02:29.64]We're dancing round the kitchen in the refrigerator light
[02:34.20]Down the stairs I was there I remember it all too well
[02:44.29]
[03:00.03]And maybe we got lost in translation
[03:03.05]Maybe I asked for too much
[03:05.21]But maybe this thing wasn't masterpiece
[03:08.09]He tored it all up
[03:10.37]Running scared, I was there I remember it all too well
[03:20.32]
[03:20.80]Hey you called me up again just to break me like a promise
[03:26.04]So casually cruel in the name of being honest
[03:31.40]I'mma crumble up piece of paper lying here
[03:35.29]Cause I remember it all, all, all too well
[03:45.40]
[03:54.96]Time won't fly it's like I'm paralyzed by it
[03:59.95]I like to be my old self again
[04:02.25]But i'm still trying to find it
[04:04.99]After platshirt days and that's when you made me your own
[04:09.72]Now you mail back my things and I walk home alone
[04:15.29]But your keep my old scarf from that very first week
[04:20.06]Cause it reminds you of innocence and it smells like me
[04:25.21]You can't get rid of it, cause you remember it all too well
[04:35.30]
[04:36.20]Cause there we are again and I loved you so
[04:40.76]Back before you lost the one real thing you've ever known
[04:46.19]It was where, I was there, I remember it all too well
[04:55.69]
[04:56.32]Wind in my air, you were there, you remember it all
[05:01.26]Down the stairs, you were there, you remember it all
[05:06.39]It was where, I was there I remember it all too well
[05:16.27]
"
10,3GSYWQNnSdovwC2H8HpziA,spotify:track:3GSYWQNnSdovwC2H8HpziA,Almost Lover,A Fine Frenzy,268800,False,6,2007,50,0.549,0.24,0,-7.778,0.0338,0.947,0.0,0.106,0.167,1,119.58,"[00:15.08]Your fingertips across my skin
[00:19.48]The palm trees swaying in the wind
[00:23.32]Images
[00:25.96]
[00:30.85]You sang me Spanish lullabies
[00:35.28]The sweetest sadness in your eyes
[00:39.37]Clever trick
[00:41.56]
[00:47.82]Well, I never want to see you unhappy
[00:55.21]I thought you want the same for me
[01:04.77]Goodbye, my almost lover
[01:08.70]Goodbye, my hopeless dream
[01:12.83]I'm trying not to think about you
[01:16.80]Can't you just let me be?
[01:20.89]So long, my luckless romance
[01:24.77]My back is turned on you
[01:28.98]Should've known you'd bring me heartache
[01:32.96]Almost lovers always do
[01:39.19]
[01:43.10]We walked along a crowded street
[01:47.27]You took my hand and danced with me
[01:51.35]Images
[01:59.39]And when you left, you kissed my lips
[02:03.32]You told me you would never, never forget
[02:07.37]These images
[02:11.46]No
[02:16.14]Well, I never want to see you unhappy
[02:23.52]I thought you want the same for me
[02:33.06]Goodbye, my almost lover
[02:37.05]Goodbye, my hopeless dream
[02:41.12]I'm trying not to think about you
[02:45.18]Can't you just let me be?
[02:49.09]So long, my luckless romance
[02:53.09]My back is turned on you
[02:57.42]Should've known you bring me heartache
[03:01.27]Almost lovers always do
[03:06.49]
[03:09.35]I cannot go to the ocean
[03:13.84]I cannot drive the streets at night
[03:16.88]I cannot wake up in the morning
[03:21.53]Without you on my mind
[03:25.46]So you're gone and I'm haunted
[03:29.44]And I bet you are just fine
[03:33.90]Did I make it that
[03:36.04]Easy to walk right in and out
[03:41.14]Of my life?
[03:46.97]Goodbye, my almost lover
[03:50.98]Goodbye, my hopeless dream
[03:55.25]I'm trying not to think about you
[03:59.35]Can't you just let me be?
[04:03.02]So long, my luckless romance
[04:06.98]My back is turned on you
[04:10.97]Should have known you bring me heartache
[04:15.08]Almost lovers always do
[04:24.69]"
